Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Absinth 66 Classic (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1431_EGh2dEAe4ZRjE4T5Q-small.jpg,Ynz78Bz8gKHZaW5KZ,Ynz78Bz8gKHZaW5KZ,37,Absinth 66 Classic (0.5l),1023,Fl,fl,Fl,,0.5l,0.5
Amaro Montenegro (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0723_EKznBbcCh2CKRNxAu-small.jpg,hNwQzBtYa5aq7N4Yj,hNwQzBtYa5aq7N4Yj,171,Amaro Montenegro (0.7l),2017,Fl,fl,Fl,,0.7l,0.7
Antica Formula (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0812_r4dZBqnjeupDdq4Fw-small.jpg,jkecuffsvy2Gamqf4,jkecuffsvy2Gamqf4,193,Antica Formula (1l),2023,Fl,fl,Fl,,1l,1
Aperol (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0828_xqTayf9hWGeCyoDjz-small.jpg,DXwhySLjEPbCsHRrR,DXwhySLjEPbCsHRrR,211,Aperol (0.7l),2014,Fl,fl,Fl,,0.7l,0.7
Aperol (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1043_BRdXPKnBgG8ToDtr8-small.jpg,taBr4khycRBvDPQbE,taBr4khycRBvDPQbE,212,Aperol (1l),2015,Fl,fl,Fl,,1l,1
"Aperol Spritz (0,2l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221227-0619_rNMvHPaGy8RozXABT-small.png,sNtkFci5vH727avQX,sNtkFci5vH727avQX,213,"Aperol Spritz (0,2l)",2071,Ki (24 Fl),ki,Ki (24 Fl),,"0,2l",0.2
Averna Amaro (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-1232_YsEvDkfHP7QPTds3o-small.png,zoDd5csKGXStjGPFg,zoDd5csKGXStjGPFg,297,Averna Amaro (0.7l),2061,Fl,fl,Fl,,0.7l,0.7
Averna Amaro (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220615-1244_akMdsJ6ghDBrubNsA-small.jpg,A3qBzEHhvhSmP5bMg,A3qBzEHhvhSmP5bMg,298,Averna Amaro (1l),92043,Fl,fl,Fl,,1l,1
Belsazar Dry (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-1239_CF8KymzfgZznwjzHC-small.jpg,4QfeWiyLXFubbxBCT,4QfeWiyLXFubbxBCT,441,Belsazar Dry (0.75l),2046,Fl,fl,Fl,,0.75l,0.75
Belsazar Red (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-1240_so3XTy62XvhjXGqz3-small.jpg,nGJ7AmseJN8Jo7SmT,nGJ7AmseJN8Jo7SmT,442,Belsazar Red (0.75l),2047,Fl,fl,Fl,,0.75l,0.75
Belsazar Rose (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1911_XuDfmgqvqEBWMeuYK-small.jpg,qjvXQ9DJfk2fKQqBc,qjvXQ9DJfk2fKQqBc,443,Belsazar Rose (0.75l),2048,Fl,fl,Fl,,0.75l,0.75
Belsazar White (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-1240_C9XiZHbWfZQ9EP3Fh-small.jpg,hbegcbKrPSoD8s7Pd,hbegcbKrPSoD8s7Pd,445,Belsazar White (0.75l),2049,Fl,fl,Fl,,0.75l,0.75
Bommerlunder (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2047_BHXGyFruqxqLH36Mu-small.jpg,P72t8FpLwtjfNKN6m,P72t8FpLwtjfNKN6m,625,Bommerlunder (0.7l),2052,Fl,fl,Fl,,0.7l,0.7
Bonanto Aperitivo (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1212_kcQ4i7bo3DeT8w6wB-small.jpeg,stQDp4sHkJRGM4WWX,stQDp4sHkJRGM4WWX,627,Bonanto Aperitivo (0.75l),2090,Fl,fl,Fl,,0.75l,0.75
Campari Bitter (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1914_LSu4dya77sFn4NHXG-small.jpg,m5NMr6SSNi5xL9iTy,m5NMr6SSNi5xL9iTy,769,Campari Bitter (0.7l),2011,Fl,fl,Fl,,0.7l,0.7
Campari Bitter (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-0955_GiZb3HxpXMCqYJmMT-small.jpg,Yhz7WFojxkY2HbEmc,Yhz7WFojxkY2HbEmc,770,Campari Bitter (1l),2012,Fl,fl,Fl,,1l,1
Campari Soda (5er) (0.1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1221_x4BaF8bA8k3DNtjTS-small.jpeg,ArnAgZf6GNExLnCpS,ArnAgZf6GNExLnCpS,771,Campari Soda (5er) (0.1l),2013,Fl,fl,Fl,,0.1l,0.1
Cinzano Bianco (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2122_7xaD3DHdZNu7ZmHcS-small.jpg,,,,,,,,,,,
