"Kunde";"Bestelldatum";"Bestelldatum_Roh";"Bestellzeit";"Bestellnummer";"Zustelldatum";"Bestellübersicht";"Interne Tags"
"Café Schnepperschütz";"Mi., 19.11.25 16:28";"Mi., 19.11.25";"16:28";"10056-250038055";"Sa., 22.11.25";"10";""
"Schmidt & Wilfing GmbH";"Mi., 19.11.25 16:23";"Mi., 19.11.25";"16:23";"12673-250038054";"Mo., 24.11.25";"5";""
"adesso SE";"Mi., 19.11.25 16:15";"Mi., 19.11.25";"16:15";"13204-250038053";"Do., 20.11.25";"8";""
"BUNI Kultur- und Freizeittreff";"Mi., 19.11.25 16:14";"Mi., 19.11.25";"16:14";"10881-250038052";"Fr., 21.11.25";"14";""
"La Tapa & Sushi";"Mi., 19.11.25 16:12";"Mi., 19.11.25";"16:12";"14071-250038051";"Do., 20.11.25";"31";""
"Caffé Fatal";"Mi., 19.11.25 15:26";"Mi., 19.11.25";"15:26";"13254-250038050";"Do., 20.11.25";"7";""
"RAU, SCHNECK & HÜBNER";"Mi., 19.11.25 15:09";"Mi., 19.11.25";"15:09";"10860-250038049";"Do., 20.11.25";"5";""
"Muu Korean Kitchen";"Mi., 19.11.25 15:03";"Mi., 19.11.25";"15:03";"13486-250038048";"Do., 20.11.25";"3";""
"Alexander Russ (deins und meins)";"Mi., 19.11.25 14:54";"Mi., 19.11.25";"14:54";"10821-250038047";"Do., 20.11.25";"8";""
"DP Steuerberatungsgesellschaft";"Mi., 19.11.25 13:44";"Mi., 19.11.25";"13:44";"13230-250038046";"Mo., 24.11.25";"3";""
"Friseur El-Classico";"Mi., 19.11.25 13:43";"Mi., 19.11.25";"13:43";"13159-250038045";"Do., 20.11.25";"2";""
"valantic people GmbH";"Mi., 19.11.25 13:43";"Mi., 19.11.25";"13:43";"12807-250038044";"Mi., 26.11.25";"5";""
"Katz GmbHCo. KG";"Mi., 19.11.25 13:41";"Mi., 19.11.25";"13:41";"13294-250038043";"Do., 20.11.25";"27";""
"Burgerheart Erlangen GmbH";"Mi., 19.11.25 13:28";"Mi., 19.11.25";"13:28";"11446-250038042";"Do., 20.11.25";"8";""
"CuraMed-Tagesklinik Nürnberg";"Mi., 19.11.25 13:15";"Mi., 19.11.25";"13:15";"12877-250038041";"Do., 20.11.25";"4";""
"Kinderhaus Nürnberg gGmbH";"Mi., 19.11.25 13:10";"Mi., 19.11.25";"13:10";"13297-250038040";"Do., 20.11.25";"2";""
"BASECOFFEE Würzburg GmbH";"Mi., 19.11.25 12:26";"Mi., 19.11.25";"12:26";"12967-250038039";"Do., 20.11.25";"16";""
