Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"Neder Schwarze Anna (20x0,5l)",,pFyAnxcrEvp6uCPNi,pFyAnxcrEvp6uCPNi,3233,"Neder Schwarze Anna (20x0,5l)",3445,Ki (20 Fl),ki,Ki (20 Fl),,"0,5l",0.5
Neum. Lammsbräu Alkoholfrei (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1918_gcXaPXo9g6MzQQL64-small.jpg,yGP6b8L2QaKbk96u6,yGP6b8L2QaKbk96u6,3242,Neum. Lammsbräu Alkoholfrei (0.33l),3109,Ki (20 Fl),ki,Ki (20 Fl),,0.33l,0.33
Neum. Lammsbräu Alkoholfrei (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230531-2020_h2ZZtQx9856WdrWsA-small.jpg,uLHfs6EZepcMiYGTZ,uLHfs6EZepcMiYGTZ,3243,Neum. Lammsbräu Alkoholfrei (0.33l),3108,Ki (10 Fl),ki,Ki (10 Fl),,0.33l,0.33
"Neum. Lammsbräu Edelhell (10x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240523-1104_5HB8iBYpnFfiBCQhp-small.jpeg,dqWJjvNN5YPQg8jX6,dqWJjvNN5YPQg8jX6,3244,"Neum. Lammsbräu Edelhell           (10x0,5l)",3580,Ki,ki,Ki,,"0,5l",0.5
"Neum. Lammsbräu Edelpils (20x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240523-1105_cuvjrC3u2e7RJh4vK-small.jpeg,AMcepZNHtRsaaJHrr,AMcepZNHtRsaaJHrr,3245,"Neum. Lammsbräu Edelpils           (20x0,5l)",3581,Ki,ki,Ki,,"0,5l",0.5
Neum. Lammsbräu Glutenfrei (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230531-2020_yCsJrmSRe4FAk5vbj-small.png,GeN9iqa2xp5u6Wjq7,GeN9iqa2xp5u6Wjq7,3246,Neum. Lammsbräu Glutenfrei (0.33l),3307,Ki (10 Fl),ki,Ki (10 Fl),,0.33l,0.33
Neum. Lammsbräu Glutenfrei alkohol- (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1140_Zxqi4HwrggYMdJ8hm-small.jpeg,oFPHHtoux2wPj5ME5,oFPHHtoux2wPj5ME5,3247,Neum. Lammsbräu Glutenfrei alkohol- (0.33l),3443,Ki (10 Fl),ki,Ki (10 Fl),,0.33l,0.33
Neum. Lammsbräu Hell (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1140_L5nFSx6isBFnqs4Ke-small.jpeg,kKirmEvjd9vaHWfbg,kKirmEvjd9vaHWfbg,3248,Neum. Lammsbräu Hell (0.33l),3302,Ki (10 Fl),ki,Ki (10 Fl),,0.33l,0.33
"Neum. Lammsbräu Naturradler (0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221227-1357_t6x65ec934N9z5KfE-small.jpg,ZTgYCsLNCmgBK7EJD,ZTgYCsLNCmgBK7EJD,3249,"Neum. Lammsbräu Naturradler (0,33l)",3504,Kiste,kiste,Kiste,,"0,33l",0.33
Neum. Lammsbräu Pils (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1949_fLeHov3EEFkN79Kfg-small.jpg,kt7xktuccSBetT7Ze,kt7xktuccSBetT7Ze,3250,Neum. Lammsbräu Pils (0.33l),3110,Ki (20 Fl),ki,Ki (20 Fl),,0.33l,0.33
"Neum. Lammsbräu Pils (10x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230403-0635_SkjMWrtpEp3JhWHb4-small.png,uREjsgKBdWHmxNXtH,uREjsgKBdWHmxNXtH,3251,"Neum. Lammsbräu Pils (10x0,33l)",3530,Kiste,kiste,Kiste,,"0,33l",0.33
Neum. Lammsbräu Weizen (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1950_saJbe8D3M7REmkiRd-small.png,7htnDRZ54gtjqK7da,7htnDRZ54gtjqK7da,3252,Neum. Lammsbräu Weizen (0.5l),3111,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
"Neum. Lammsbräu Weizen (10x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1143_QiPJbKWkTsSzJoTKG-small.jpeg,DFttShusBnudchiMR,DFttShusBnudchiMR,3253,"Neum. Lammsbräu Weizen (10x0,5l)",3531,Kiste,kiste-,Kiste,,"0,5l",0.5
Neum. Lammsbräu Weizen Alkoholfrei (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1950_f8bzHguh9ffmRddbx-small.png,yH4YfaXmQkBj7ZYWm,yH4YfaXmQkBj7ZYWm,3254,Neum. Lammsbräu Weizen Alkoholfrei (0.5l),3112,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
"Neum. Lammsbräu Weizen Dunkel alkoholfrei (20x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250513-1010_zNmnDau25fSutJq59-small.jpeg,WApcuuT7u8C9T9AWX,WApcuuT7u8C9T9AWX,3255,"Neum. Lammsbräu Weizen Dunkel alkoholfrei (20x0,5l)",3303,Ki,ki,Ki,Vorbesteller | Vorbesteller,"0,5l",0.5
Neum. Lammsbräu Weizen Leicht (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1144_uSCc72wv9wfkimSwD-small.jpeg,R6iPjZEeNtTgc6kvD,R6iPjZEeNtTgc6kvD,3256,Neum. Lammsbräu Weizen Leicht (0.5l),3304,Ki (10 Fl),ki,Ki (10 Fl),,0.5l,0.5
Neum. Lammsbräu Weizen alkoholfrei (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1145_fYtRW85sapHMy4cmf-small.jpeg,K7GxQAGhYDLjWyJYE,K7GxQAGhYDLjWyJYE,3257,Neum. Lammsbräu Weizen alkoholfrei (0.5l),3380,Ki (10 Fl),ki,Ki (10 Fl),,0.5l,0.5
Newcastle Brown Ale (30l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1145_skLfqqASPd3yQTNmN-small.jpeg,YwoTknvtsM7vmzP8o,YwoTknvtsM7vmzP8o,3258,Newcastle Brown Ale (30l),3385,Fass,fass,Fass,,30l,30
