Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Bad Brambacher Bitter Lemon (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230614-0937_3gpNkLrpRbiwiqQvS-small.jpg,AhxAJj36RMejN5AwT,AhxAJj36RMejN5AwT,332,Bad Brambacher Bitter Lemon (0.25l),4074,Ki (20 Fl),ki,Ki (20 Fl),,0.25l,0.25
Bundaberg Ginger Brew (0.3l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1913_igHB3PS9ifDjXfmkp-small.jpg,Gzxvnwf4ZH363dRPw,Gzxvnwf4ZH363dRPw,679,Bundaberg Ginger Brew (0.3l),4068,Ki (20 Fl),ki,Ki (20 Fl),,0.3l,0.3
Crodino Bitter (0.098l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220610-1631_pDReykS9TJtHMfp9Q-small.gif,,,,,,,,,,,
Fentiman's Indian Tonic,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221220-1159_o4rnKFaHS69jXng2A-small.jpg,7CJhoChKbEBLD7k3Z,7CJhoChKbEBLD7k3Z,1446,Fentiman's Indian Tonic,4117,Kiste,kiste,Kiste,,,
Fentiman's Rosen Limonade (0.275l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230422-0921_AgEHHghNdfWsm8Pix-small.jpg,7YTsyKk8bFz4ztZtM,7YTsyKk8bFz4ztZtM,1447,Fentiman's Rosen Limonade (0.275l),4053,Ki (12 Fl),ki,Ki (12 Fl),,0.275l,0.275
Fentiman's Rosen Limonade (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230422-0920_Da9KRuhQKx8Dq7ZeP-small.jpg,WWLM89Hrk8aqHTvWD,WWLM89Hrk8aqHTvWD,1448,Fentiman's Rosen Limonade (0.2l),4087,Ki (24 Fl),ki,Ki (24 Fl),,0.2l,0.2
Fentiman's Tonic Water (0.125l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230422-0922_4AKXCceYX4o4Xarqm-small.jpg,DvfY9EsLZNczLy6po,DvfY9EsLZNczLy6po,1449,Fentiman's Tonic Water (0.125l),4052,Ki (24 Fl),ki,Ki (24 Fl),,0.125l,0.125
Fever-Tree Dry Tonic (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230422-0924_fs4E7JEet9DvHZKYN-small.jpg,APBywMNNTwHKd5vTT,APBywMNNTwHKd5vTT,1463,Fever-Tree Dry Tonic (0.2l),4086,Ki (24 Fl),ki,Ki (24 Fl),,0.2l,0.2
Fever-Tree Ginger Ale (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0407_b8Gvyat4RbnvNeMvC-small.jpg,zKZMBvGvowSWg5o5p,zKZMBvGvowSWg5o5p,1464,Fever-Tree Ginger Ale (0.2l),4036,Ki (24 Fl),ki,Ki (24 Fl),,0.2l,0.2
Fever-Tree Ginger Beer (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0407_QAhWTWCjqzQJuD2ZE-small.jpg,9qGDrAtxwM5zu3nQz,9qGDrAtxwM5zu3nQz,1465,Fever-Tree Ginger Beer (0.2l),4037,Ki (24 Fl),ki,Ki (24 Fl),,0.2l,0.2
