Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
B-Pure Cachaca (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230424-0831_4wBfjKdPoWPkRWSg9-small.png,7qSYw7mX2bfTSHNHd,7qSYw7mX2bfTSHNHd,302,B-Pure Cachaca (0.7l),5010,Fl,fl,Fl,,0.7l,0.7
CACHACA THOQUINO (Brasilien) 1L,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241212-1826_NKNR6DggCHiDdjbRv-small.jpeg,PjHr928aChAntYT8o,PjHr928aChAntYT8o,743,CACHACA THOQUINO (Brasilien) 1L,5020,FL,fl,FL,,1L,1
Cachaca 51 (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0342_qi8rmDEBcyHkK8BHp-small.jpg,ezcqEtpfSkmqwuxdB,ezcqEtpfSkmqwuxdB,747,Cachaca 51 (1l),5004,Fl,fl,Fl,,1l,1
Cachaca Cana Rio (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0802_XdkHXPmLqRBctECft-small.jpg,uxLqcQzZDhYXpBn6A,uxLqcQzZDhYXpBn6A,748,Cachaca Cana Rio (1l),5005,Fl,fl,Fl,,1l,1
Cachaca Hausmarke (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220829-0955_EtRH533kJ73XBgz9Y-small.jpg,nm6XWTHrQGbmsW2PL,nm6XWTHrQGbmsW2PL,749,Cachaca Hausmarke (1l),5001,Fl,fl,Fl,,1l,1
Cachaca Nega Fulo (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0802_FusJHLTuEzy8GQofe-small.jpg,umsDetkZ7p7pnLXv8,umsDetkZ7p7pnLXv8,750,Cachaca Nega Fulo (1l),5008,Fl,fl,Fl,,1l,1
Cachaca Pitu (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0805_7pcmctvqGGY39R38i-small.jpg,YGvJgcPwSS6pzxJWc,YGvJgcPwSS6pzxJWc,751,Cachaca Pitu (0.7l),5007,Fl,fl,Fl,,0.7l,0.7
Cachaca Pitu (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1034_HknC4mtDuMnm2yeDF-small.jpg,ypomeZ22qRcfqffsN,ypomeZ22qRcfqffsN,752,Cachaca Pitu (1l),5006,Fl,fl,Fl,,1l,1
"Delicana Gold Artesanal Cachaca (1,0l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230306-0719_rGxMabu2q6DAuKdjw-small.jpg,,,,,,,,,,,
"Iguacu Bio Cachaca (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0801_GpzMvc2XxtiNEf6uB-small.jpeg,zaeDoQBy4Mkd6CtPQ,zaeDoQBy4Mkd6CtPQ,2139,"Iguacu Bio Cachaca (0,7l)",5021,FL,fl,FL,,"0,7l",0.7
Magnifica Cachaca,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0805_McntZbj3zNdEq9Ni7-small.jpg,kZ89Ne8nSzWPdmtrk,kZ89Ne8nSzWPdmtrk,2648,Magnifica Cachaca,5013,Fl,fl,Fl,,,
"Velho Barreiro Cachaca Silver (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0805_exZtpnkpZvXih8EiW-small.png,kz47PcBujNFMKNG6Z,kz47PcBujNFMKNG6Z,4621,"Velho Barreiro Cachaca Silver (0,7l)",5003,Fl,fl,Fl,,"0,7l",0.7
Velho Barreiro Cachaca Silver (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0806_wM2NwmDvKmCb3Ckns-small.png,w5iFXFDQRdJQBNNbC,w5iFXFDQRdJQBNNbC,4622,Velho Barreiro Cachaca Silver (1l),5002,Fl,fl,Fl,,1l,1
