Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Armand de Brignac Brut Blanc de (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0900_cwSDFHqdNgyn4tPLC-small.png,CKfZpbTyenjLdcyd9,CKfZpbTyenjLdcyd9,263,Armand de Brignac Brut Blanc de (0.75l),6108,Fl,fl,Fl,,0.75l,0.75
Armand de Brignac Brut Gold (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221227-0622_KcoLCTK43G2d6MEBy-small.png,Aqbgm7W9qv6KSw9Zf,Aqbgm7W9qv6KSw9Zf,264,Armand de Brignac Brut Gold (0.75l),6106,Fl,fl,Fl,,0.75l,0.75
Armand de Brignac Brut Gold (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0901_8ypqjhRRfRnaDQar6-small.png,8h4uHP6WmdexWRaGb,8h4uHP6WmdexWRaGb,265,Armand de Brignac Brut Gold (0.75l),6112,Fl,fl,Fl,,0.75l,0.75
Armand de Brignac Brut Rosé (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0902_vjDiGWm3hKQAeZm2q-small.png,fBw2ZyZvKBs5xrCQM,fBw2ZyZvKBs5xrCQM,266,Armand de Brignac Brut Rosé (0.75l),6107,Fl,fl,Fl,,0.75l,0.75
Armand de Brignac Brut Rosé (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1244_EHwk75qmBCKt7L6RW-small.jpg,X83jZLphHBkYGdBc4,X83jZLphHBkYGdBc4,267,Armand de Brignac Brut Rosé (0.75l),6113,Fl,fl,Fl,,0.75l,0.75
Billecart Salmon Rosé Brut (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1245_pYzgA8GvnZAWf3CRm-small.jpg,pHDKQCsyqPk6C8HSn,pHDKQCsyqPk6C8HSn,489,Billecart Salmon Rosé Brut (0.75l),6109,Fl,fl,Fl,,0.75l,0.75
Bollinger Brut Rosé (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1245_7t4kEGbTankkTkuDH-small.jpg,4jNMXr4nsH6NtdJCs,4jNMXr4nsH6NtdJCs,591,Bollinger Brut Rosé (0.75l),6089,Fl,fl,Fl,,0.75l,0.75
Bollinger Special Cuvée (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1245_ocbpvzCcim25nuebn-small.jpg,h3a5PNbecqCpzF332,h3a5PNbecqCpzF332,592,Bollinger Special Cuvée (0.75l),6088,Fl,fl,Fl,,0.75l,0.75
Champagne Gruet Brut Rosé (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1246_hE7oYWMxj4L4ivuF7-small.png,,,,,,,,,,,
Champagne Regine Baron Saphir Brut (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1051_xAGqqSDqw2gRQyjCe-small.jpg,,,,,,,,,,,
"Champagner Ayala-Brut Majeur (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250513-1249_pASQuqFTxMgMxi95s-small.jpeg,,,,,,,,,,,
"Champagner Ayala-Rose Majeur (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250513-1250_tDcFavYFPG5Wv9wdw-small.jpeg,,,,,,,,,,,
"Champagner Devaux - Coeur des Bar Blanc de Blancs (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0958_jPkzucC26LDpTd4si-small.jpeg,,,,,,,,,,,
"Champagner Devaux - Grande Réserve Brut (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230403-0522_2r4DDSJSmCb7YPZq3-small.jpg,,,,,,,,,,,
"Champagner Lallier Blanc de Blancs 0,75l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230118-1427_KiJJKtBB9aRphkFhD-small.png,,,,,,,,,,,
Champagner Lallier Blanc de Noirs,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240717-1253_TH3hAoJnkiJ4CYHsS-small.jpeg,,,,,,,,,,,
Champagner Lallier Cuvée R.019 (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1051_vNzirLfYhjpwQBrmP-small.png,,,,,,,,,,,
Champagner Lallier Millesime 2014,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240105-0650_shMXrMBfZh2aBcTr3-small.jpeg,,,,,,,,,,,
"Champagner Lallier Ouvrage (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240104-1111_f6q7rg4ZGsrHQLarh-small.jpeg,,,,,,,,,,,
"Champagner Lallier Rosé (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230414-0432_AzXcdgrzA2Xq9F4Gi-small.png,,,,,,,,,,,
"Champagner Millésimé Grand cru 2012 (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1258_Acmd7RdHfLoozkgE8-small.jpeg,,,,,,,,,,,
Dom Pérignon Plénitude 2 (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1249_Lk7ypA9rRFKwmMmKq-small.jpg,F4hLaCtbQxktBP4Eb,F4hLaCtbQxktBP4Eb,1217,Dom Pérignon Plénitude 2 (0.75l),6058,Fl,fl,Fl,,0.75l,0.75
Dom Pérignon Rosé Lady Gaga Luminus (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1252_bojDbtZ2Daiey9HfP-small.jpg,gc5Lx53vETEBWGHaE,gc5Lx53vETEBWGHaE,1218,Dom Pérignon Rosé Lady Gaga Luminus (0.75l),6055,Fl,fl,Fl,,0.75l,0.75
Dom Pérignon Rosé Vintage (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220610-1641_2T3Ac2pTWcpAjiH7a-small.png,XuX5LzspWPAW74ze6,XuX5LzspWPAW74ze6,1219,Dom Pérignon Rosé Vintage (0.75l),6054,Fl,fl,Fl,,0.75l,0.75
Dom Pérignon Rosé Vintage (1.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1250_whZkPcopeccHXNnbT-small.jpg,XZg3YHproe3pLMnbg,XZg3YHproe3pLMnbg,1220,Dom Pérignon Rosé Vintage (1.5l),6056,Fl,fl,Fl,,1.5l,1.5
Dom Pérignon Rosé Vintage Luminous (1.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1253_C9oFQbGYEwobeemeT-small.png,whWKNQw8AeBjrEJZc,whWKNQw8AeBjrEJZc,1221,Dom Pérignon Rosé Vintage Luminous (1.5l),6057,Fl,fl,Fl,,1.5l,1.5
Dom Pérignon Vintage (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220610-1642_AkNsnCxdjHNCfM3zR-small.jpg,ETTZzvEEh57qB7C2W,ETTZzvEEh57qB7C2W,1222,Dom Pérignon Vintage (0.75l),6050,Fl,fl,Fl,,0.75l,0.75
Dom Pérignon Vintage Luminous Label (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230108-1743_YKxG7NnTWYGhQvb6h-small.jpg,3yfdNtHdyw2xWj66P,3yfdNtHdyw2xWj66P,1223,Dom Pérignon Vintage Luminous Label (0.75l),6051,Fl,fl,Fl,,0.75l,0.75
Dom Pérignon Vintage Luminous Label (1.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1253_eSjBq3yAtSAiac9c2-small.jpg,h8hosxAtEqW6rM2s7,h8hosxAtEqW6rM2s7,1224,Dom Pérignon Vintage Luminous Label (1.5l),6053,Fl,fl,Fl,,1.5l,1.5
Dom Pérignon Vintage MAGNUM (1.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1254_xHD848c8tSp2tBDpx-small.jpg,riQPpow37H5x7Yeu4,riQPpow37H5x7Yeu4,1225,Dom Pérignon Vintage MAGNUM (1.5l),6052,Fl,fl,Fl,,1.5l,1.5
Dom Pérignon Vintage Methusalem (6l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1259_bJK3djmgoFRpniqQ9-small.jpeg,ciJ3c6r2tnvvCswQs,ciJ3c6r2tnvvCswQs,1226,Dom Pérignon Vintage Methusalem (6l),6118,Fl,fl,Fl,,6l,6
"Dom Pérignon Vintage Rosé Luminous Label (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0934_N9EQbKEse4zgejEnG-small.jpeg,DQm4pS6Rb5GRLxEkL,DQm4pS6Rb5GRLxEkL,1227,"Dom Pérignon Vintage Rosé Luminous Label (0,75l)",6142,Fl,fl,Fl,,"0,75l",0.75
