Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Asbach 8 Jahre (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0904_GxRcsM2GkE6hMyZAJ-small.jpg,u7yjiYJKYgPs68iDW,u7yjiYJKYgPs68iDW,275,Asbach 8 Jahre (0.7l),11063,Fl,fl,Fl,,0.7l,0.7
Asbach Uralt (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0904_fEkhpdxdT6inYvLF2-small.png,X36j2qcEFJw5wQ9vk,X36j2qcEFJw5wQ9vk,276,Asbach Uralt (0.7l),11060,Fl,fl,Fl,,0.7l,0.7
Asbach Uralt (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0905_PzR9sJMiDFqk4xw8n-small.jpg,obGQeebzfqMpwhhHh,obGQeebzfqMpwhhHh,277,Asbach Uralt (1l),11061,Fl,fl,Fl,,1l,1
Asbach Uralt (3l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0905_xhWXWJHsbTLJ8SXjG-small.png,w39ituNya5pr5DPhJ,w39ituNya5pr5DPhJ,278,Asbach Uralt (3l),11062,Fl,fl,Fl,,3l,3
Bisquit Classique VS Cognac (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0807_xbCDqNHYqo6C85CCg-small.jpg,o4vjrqDhS8CW75SkF,o4vjrqDhS8CW75SkF,526,Bisquit Classique VS Cognac (0.7l),11031,Fl,fl,Fl,,0.7l,0.7
Bisquit VSOP Cognac (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0807_prc6A4yvjqwurFECd-small.jpg,MgcDb4pqjgcZDCkCT,MgcDb4pqjgcZDCkCT,527,Bisquit VSOP Cognac (0.7l),11032,Fl,fl,Fl,,0.7l,0.7
Cardenal Mendoza Carta Real (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0807_f8uwzgMvzk6eTyLav-small.jpg,ZGtD7XLpNcGPmgp5S,ZGtD7XLpNcGPmgp5S,825,Cardenal Mendoza Carta Real (0.7l),11041,Fl,fl,Fl,,0.7l,0.7
Cardenal Mendoza Solera Gran (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0808_a7P2CnmqM3ryQf94J-small.jpg,zLefzfwEuyGg5CSoJ,zLefzfwEuyGg5CSoJ,826,Cardenal Mendoza Solera Gran (0.7l),11040,Fl,fl,Fl,,0.7l,0.7
Carlos I Solera Gran Reserva (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-1123_9AQWuN7NZQ3FqwaBS-small.jpg,iN84zqCcQYMWS4jdp,iN84zqCcQYMWS4jdp,830,Carlos I Solera Gran Reserva (0.7l),11042,Fl,fl,Fl,,0.7l,0.7
Chantre (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1052_TzZbHvmQeuphxs48K-small.jpg,,,,,,,,,,,
Courvoisier VS (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0808_D8P24iLLyxGjX5wPp-small.jpg,,,,,,,,,,,
Courvoisier VSOP (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0809_Z66RQ2PmkyHDBRK4q-small.jpg,,,,,,,,,,,
Courvoisier XO (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0809_kPfkczevWfvKcQfvx-small.jpg,,,,,,,,,,,
Gran Duque d'Alba (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0809_iTJ6RrrqmyyTuGfdD-small.jpg,eKQjhihTLAabN7zL5,eKQjhihTLAabN7zL5,1862,Gran Duque d'Alba (0.7l),11046,Fl,fl,Fl,,0.7l,0.7
H by Hine Vintage (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230616-1114_abw3B6vHeg2teijaX-small.jpg,5HRsqX5WjoGzGRYoq,5HRsqX5WjoGzGRYoq,1970,H by Hine Vintage (0.7l),11015,Fl,fl,Fl,,0.7l,0.7
"Hennessy Luminous VS (0,7)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230815-1543_uMNNwhuWmrtFPKovX-small.jpeg,9azeFWh2MY9qiEiHF,9azeFWh2MY9qiEiHF,2058,"Hennessy Luminous VS (0,7)",11067,Flasche,flasche,Flasche,,,
Hennessy Paradis (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230616-1115_NGYGnGBdMdNX7ubYC-small.jpg,km6mw62oNW5EZ34f9,km6mw62oNW5EZ34f9,2059,Hennessy Paradis (0.7l),11008,Fl,fl,Fl,,0.7l,0.7
Hennessy Paradis Magnum (1.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230616-1115_PGhkdrLXoJp9Pw366-small.jpg,rLircmHjnQ9SazSnr,rLircmHjnQ9SazSnr,2060,Hennessy Paradis Magnum (1.5l),11009,Fl,fl,Fl,,1.5l,1.5
Hennessy VS (0.05l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230616-1115_MXsZjYYGhd57w9hSu-small.jpg,gxFSfv4qBqC5wW65y,gxFSfv4qBqC5wW65y,2061,Hennessy VS (0.05l),11002,Fl,fl,Fl,,0.05l,0.05
Hennessy VS (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220825-0524_5sX6ciNyS6bDnXAjh-small.jpg,p4K9LjwjvMQGSNZfP,p4K9LjwjvMQGSNZfP,2062,Hennessy VS (0.7l),11001,Fl,fl,Fl,,0.7l,0.7
Hennessy VSOP (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230616-1116_WGeyhKj2542mQedK9-small.jpg,CNRMu3C3CoX6uvAzt,CNRMu3C3CoX6uvAzt,2063,Hennessy VSOP (0.7l),11003,Fl,fl,Fl,,0.7l,0.7
