Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Fuze Tea Zitrone Glas (0.3l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0433_2WKDRTHRzepZDrGPb-small.jpg,KcrpckJvRJadm4ZiS,KcrpckJvRJadm4ZiS,1630,Fuze Tea Zitrone Glas (0.3l),8415,Ki (24 Fl),ki,Ki (24 Fl),,0.3l,0.3
Fuze Tea Zitrone PET (0.4l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220825-0523_t3iBeRQpoYRSpM2tb-small.jpg,rYBcaEgtRp29C6Nh9,rYBcaEgtRp29C6Nh9,1631,Fuze Tea Zitrone PET (0.4l),8184,Ki (12 Fl),ki,Ki (12 Fl),,0.4l,0.4
"GUA Guavenlimo Holunder Minze BIO (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250325-1704_YrjKSt9oLPeijLHsS-small.jpeg,BLeYMgsB4MLcKKEEf,BLeYMgsB4MLcKKEEf,1643,"GUA Guavenlimo Holunder Minze BIO  (24x0,33l)",8720,Ki,ki,Ki,Vorbesteller | Vorbesteller,"0,33l",0.33
"GUA Guavenlimo Ingwer Kurkuma BIO (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250325-1656_FRjHsAWQD6xmEhgKb-small.jpeg,2sy7xLJxAuDuYkpeJ,2sy7xLJxAuDuYkpeJ,1644,"GUA Guavenlimo Ingwer Kurkuma BIO   (24x0,33l)",8534,Ki (24 Fl),ki,Ki (24 Fl),Vorbesteller | Vorbesteller,"0,33l",0.33
"GUA Guavenlimo Lemongras BIO (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250325-1709_7tPEpynAHPyNBQNAT-small.jpeg,byTTCGn64PGjdo5hW,byTTCGn64PGjdo5hW,1645,"GUA Guavenlimo Lemongras BIO       (24x0,33l)",8722,Ki,ki,Ki,Vorbesteller | Vorbesteller,"0,33l",0.33
"GUA Guavenlimo Mango Limette BIO (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250325-1708_yhguZBdqtd5LsKR2C-small.jpeg,GtrpTdaR2Nc8ixh7H,GtrpTdaR2Nc8ixh7H,1646,"GUA Guavenlimo Mango Limette BIO   (24x0,33l)",8721,Ki,ki,Ki,Vorbesteller | Vorbesteller,"0,33l",0.33
"GUA Guavenlimo Yuzu BIO (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250325-1711_gxSEq9ciXD2BSbBek-small.jpeg,BFsTJWG2SRx8AAAed,BFsTJWG2SRx8AAAed,1647,"GUA Guavenlimo Yuzu BIO            (24x0,33l)",8723,Ki,ki,Ki,Vorbesteller | Vorbesteller,"0,33l",0.33
Ganic Ananas Kiwi PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0435_esC8ktLjtrh9RhBDN-small.jpg,vtJKeEZiewwXTR9zQ,vtJKeEZiewwXTR9zQ,1664,Ganic Ananas Kiwi PET (0.5l),8385,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Ganic Mango Citrus PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0435_Xt4QFKc3t2EYMMBJX-small.jpg,cfwhM9zJTtvbjjN4u,cfwhM9zJTtvbjjN4u,1665,Ganic Mango Citrus PET (0.5l),8386,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Ganic Traube Acai PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240417-1600_6kMAew5LKcYfM7e7N-small.jpeg,pbkkRcutxkokupswM,pbkkRcutxkokupswM,1666,Ganic Traube Acai PET (0.5l),8388,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
"Ganic Wassermelone - Minze PET 0,5",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0436_mJzjtzyHrK8YDNWEj-small.jpg,NxHx6DXbFc9BC9FEZ,NxHx6DXbFc9BC9FEZ,1667,"Ganic Wassermelone - Minze PET 0,5",8589,Kiste,kiste,Kiste,,,
Ganic Wilde Pflaume PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240417-1600_Te43wYrkTnyWAhutB-small.jpeg,MhCetkgN8xMYMzTTq,MhCetkgN8xMYMzTTq,1668,Ganic Wilde Pflaume PET (0.5l),8387,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Gluggerla Cola (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1923_ygKtCTq4QFWhi8cqi-small.jpg,SHuZD6LdCji5vocX2,SHuZD6LdCji5vocX2,1809,Gluggerla Cola (0.5l),8146,Ki (18 Fl),ki,Ki (18 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Gluggerla Cola-Mix (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1924_hYBwCAxXFhtYsHEs7-small.jpg,NpSPkxEtrR6rb6wKY,NpSPkxEtrR6rb6wKY,1810,Gluggerla Cola-Mix (0.5l),8147,Ki (18 Fl),ki,Ki (18 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Gluggerla Orange (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1924_2AQ25Le4dctJ8QGmw-small.jpg,yTbvt7LDQEdphg92r,yTbvt7LDQEdphg92r,1811,Gluggerla Orange (0.5l),8148,Ki (18 Fl),ki,Ki (18 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Gluggerla Zitrone (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1924_w5GgxYCbDHwnoirgB-small.jpg,N5eepsPqyEW4bP8kK,N5eepsPqyEW4bP8kK,1812,Gluggerla Zitrone (0.5l),8149,Ki (18 Fl),ki,Ki (18 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
"Goldberg Cola (24x0,2l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240313-1102_qM8uCLmpGKmfsBELu-small.jpeg,9vTHkGHSr6hzeHMN3,9vTHkGHSr6hzeHMN3,1818,"Goldberg Cola (24x0,2l)",4136,Ki,ki,Ki,,"0,2l",0.2
"Granini Eistee Pfirsich (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250604-1620_XnaZnEQAiM7mkuyc6-small.jpeg,CgexvwXeJBjnT2Dck,CgexvwXeJBjnT2Dck,1874,"Granini Eistee Pfirsich            (24x0,33l)",8750,Ki (24 Fl),ki,Ki (24 Fl),vorbesteller | vorbesteller,"0,33l",0.33
"Granini Eistee Zitrone (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250604-1618_Bp8Tgg6eiW3Nmbcmf-small.jpeg,h8nAXQTTjZ8hKveu8,h8nAXQTTjZ8hKveu8,1875,"Granini Eistee Zitrone             (24x0,33l)",8749,Ki (24 Fl),ki,Ki (24 Fl),Vorbesteller | Vorbesteller,"0,33l",0.33
"Granini Mocktail Nojito (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250604-1616_vxj9mfhsZchhvppGd-small.jpeg,6fKfA2KdhWZJSyrZm,6fKfA2KdhWZJSyrZm,1885,"Granini Mocktail Nojito            (24x0,33l)",8748,Ki (24 Fl),ki,Ki (24 Fl),Vorbesteller | Vorbesteller,"0,33l",0.33
"Granini Schorle Apfel trüb (0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231125-1031_x8zFAyJSBcT48ADGw-small.jpeg,Xd87Zb67xN9H7ejrE,Xd87Zb67xN9H7ejrE,1899,"Granini Schorle Apfel trüb (0,33l)",8653,Ki (24 Fl),ki,Ki (24 Fl),,"0,33l",0.33
"Granini Schorle Maracuja (0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231125-1032_7bg4ra5YJB7wfm9GM-small.jpeg,dy7eazJe2jWPPnxsn,dy7eazJe2jWPPnxsn,1900,"Granini Schorle Maracuja (0,33l)",8651,Ki (24 Fl),ki,Ki (24 Fl),,"0,33l",0.33
"Granini Schorle Rhabarber naturtrüb (0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231125-1032_kPfoHXQ6Tf4rrLu4u-small.jpeg,QEshztnPFNKmdXbaB,QEshztnPFNKmdXbaB,1901,"Granini Schorle Rhabarber naturtrüb (0,33l)",8652,Ki (24 Fl),ki,Ki (24 Fl),,"0,33l",0.33
"Granini Vitamin Water Energy Orange-Maracuja (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250604-1639_9Wn34x3tujt6Y3N9E-small.jpeg,Do8znTPkRmaYp9HHL,Do8znTPkRmaYp9HHL,1906,"Granini Vitamin Water Energy Orange-Maracuja       (24x0,33l)",8751,Ki (24 Fl),ki,Ki (24 Fl),vorbesteller | vorbesteller,"0,33l",0.33
"Granini Vitamin Water Protect Limette-Ingwer (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250604-1641_witSwKhYjESiB8mRX-small.jpeg,LaMAzgBYrLHmLBxAD,LaMAzgBYrLHmLBxAD,1907,"Granini Vitamin Water Protect Limette-Ingwer           (24x0,33l)",8752,Ki (24 Fl),ki,Ki (24 Fl),vorbesteller | vorbesteller,"0,33l",0.33
"Grober/Twice Schnitzer Apfel (20x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250205-1359_48S6KF5F95cR2jMKR-small.jpeg,LwhX2SM7TQBnTz79F,LwhX2SM7TQBnTz79F,1935,"Grober/Twice Schnitzer Apfel (20x0,33l)",8655,Kiste,kiste,Kiste,,"0,33l",0.33
"Guaraná ANTARCTICA Dose (0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230421-1111_7XxJ7s32FDqYqpuF4-small.png,XagHJ5Gpau7gP5tnB,XagHJ5Gpau7gP5tnB,1947,"Guaraná ANTARCTICA Dose (0,33l)",10043,Tray,tray,Tray,,"0,33l",0.33
"Hesselberger - Apfel-Holler Schorle (10x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250326-0957_nQFcT6cxJLNjTbH3E-small.jpeg,R39xPJP9fEqppiMdr,R39xPJP9fEqppiMdr,2075,"Hesselberger - Apfel-Holler Schorle (10x0,5l)",8727,Ki (10 Fl),ki,Ki (10 Fl),Vorbesteller | Vorbesteller,"0,5l",0.5
"Hesselberger - Apfelschorle trüb (10x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250326-0958_DBvuJxqTKFT4uQXJx-small.jpeg,xrNeWY8kd8jWYPohW,xrNeWY8kd8jWYPohW,2077,"Hesselberger - Apfelschorle trüb (10x0,5l)",8728,Ki (10 Fl),ki,Ki (10 Fl),Vorbesteller | Vorbesteller,"0,5l",0.5
"Hesselberger - Liss Apfel-Quitte (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250326-1016_uCN6bAdfEH8GvTNws-small.jpeg,Sa5ZL72nb6XYMLb9X,Sa5ZL72nb6XYMLb9X,2079,"Hesselberger - Liss Apfel-Quitte (24x0,33l)",8729,Ki (24 Fl),ki,Ki (24 Fl),Vorbesteller | Vorbesteller,"0,33l",0.33
"Hesselberger - Liss Holunderbeere (24x0,33l)",,57tNnWrs3Y6Xh42xu,57tNnWrs3Y6Xh42xu,2080,"Hesselberger - Liss Holunderbeere (24x0,33l)",8730,Ki (24 Fl),ki,Ki (24 Fl),Vorbesteller | Vorbesteller,"0,33l",0.33
"Hesselberger - Liss Holunderblüte (24x0,33l)",,WZve7ReZpboibd7zt,WZve7ReZpboibd7zt,2081,"Hesselberger - Liss Holunderblüte (24x0,33l)",8731,Ki (24 Fl),ki,Ki (24 Fl),Vorbesteller | Vorbesteller,"0,33l",0.33
"Jesuitenquelle Weißweinschorle (20x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0755_g2zSmB5WyFN7owtiq-small.jpeg,pjgFXNneKhbGuo4mm,pjgFXNneKhbGuo4mm,2208,"Jesuitenquelle Weißweinschorle (20x0,5l)",8375,Ki (20 Fl),ki,Ki (20 Fl),,"0,5l",0.5
"Johannisbeer Spritz - Kreuzberg Quelle (20x0,5l)",,eEuFig6J5PdrRarN9,eEuFig6J5PdrRarN9,2235,"Johannisbeer Spritz - Kreuzberg Quelle                   (20x0,5l)",8376,Ki (20 Fl),ki,Ki (20 Fl),vorbesteller | vorbesteller,"0,5l",0.5
Leikeim Cola-Mix (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0437_xHwaapqZv2Rujb34J-small.jpg,noCWfhTYWmaMxEdYp,noCWfhTYWmaMxEdYp,2535,Leikeim Cola-Mix (0.5l),8279,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
Leikeim Orange (0.5l),,MRZPByk6a7cEaytAo,MRZPByk6a7cEaytAo,2539,Leikeim Orange (0.5l),8277,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
LemonAid Blutorange (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-0750_euWD7MKcKjxP6Q6Ct-small.png,tYKXa8hz5X2k7Xi3s,tYKXa8hz5X2k7Xi3s,2547,LemonAid Blutorange (0.33l),8128,Ki (20 Fl),ki,Ki (20 Fl),,0.33l,0.33
LemonAid Ingwer (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-0751_5mzjGQdXC9Ykumu98-small.jpg,3t7ZvP4HYsFayrxJv,3t7ZvP4HYsFayrxJv,2548,LemonAid Ingwer (0.33l),8127,Ki (20 Fl),ki,Ki (20 Fl),,0.33l,0.33
LemonAid Limette (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-0752_RhwSuFzofGMroFLai-small.jpg,behpTCAy3gjLFAsfF,behpTCAy3gjLFAsfF,2549,LemonAid Limette (0.33l),8125,Ki (20 Fl),ki,Ki (20 Fl),,0.33l,0.33
LemonAid Maracuja (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-0753_j8pX2rDgeEG6ZCxo6-small.png,ruXyKHJ8vy6KqctPr,ruXyKHJ8vy6KqctPr,2550,LemonAid Maracuja (0.33l),8126,Ki (20 Fl),ki,Ki (20 Fl),,0.33l,0.33
Libella ACE Orange-Karotte (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230208-1324_AzspRySKGyoyBnXNQ-small.jpg,qAZ8S2waSk79MNC2g,qAZ8S2waSk79MNC2g,2558,Libella ACE Orange-Karotte (0.5l),8361,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Libella Apfelschorle (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230208-1326_jsbA8i7SGLiJDj5nZ-small.png,HvaXtbi7tpHBcD2Je,HvaXtbi7tpHBcD2Je,2559,Libella Apfelschorle (0.5l),8362,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Libella Cola-Mix (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230208-1326_LthsQYNeLzxcQxJ6K-small.png,7tKwLiTN23ajwWwR6,7tKwLiTN23ajwWwR6,2560,Libella Cola-Mix (0.5l),8363,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Libella Iso Sport Grape-Zitrone (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0438_mdBKKAPYWsLsbhw4E-small.jpg,CWiBmztnxTksaeReH,CWiBmztnxTksaeReH,2561,Libella Iso Sport Grape-Zitrone (0.5l),8360,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Libella Iso Sport Kirsche (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230208-1327_X9z54uQaQcYeu8T8S-small.png,fYMYvfKQPQNsfkgiC,fYMYvfKQPQNsfkgiC,2562,Libella Iso Sport Kirsche (0.5l),8359,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Libella Orange (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0438_BhcHJmh2dJCFf6PL3-small.jpg,dWPSZwsPqrepw9edx,dWPSZwsPqrepw9edx,2563,Libella Orange (0.5l),8365,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Libella Zitrone (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0439_wADcvMbicZD4zT5Hn-small.jpg,kyYqwCk5ptPmGaso9,kyYqwCk5ptPmGaso9,2564,Libella Zitrone (0.5l),8366,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Lift Apfelschorle BIB (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0439_kDWZPwruZbxr8JTPE-small.jpg,sSgHB9oyZZeRzpXm4,sSgHB9oyZZeRzpXm4,2571,Lift Apfelschorle BIB (5l),8045,Krt,krt,Krt,,5l,5
Lift Apfelschorle PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240126-1330_BFL5ynZS2QLHf7aY4-small.jpeg,KfA8a4uJGQxAbamat,KfA8a4uJGQxAbamat,2572,Lift Apfelschorle PET (0.5l),8043,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Lift Apfelschorle PET (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0439_ETL7R98EepAkiLmy5-small.jpg,TWY2jRogbfwJf97WX,TWY2jRogbfwJf97WX,2573,Lift Apfelschorle PET (1l),8044,Ki (12 Fl),ki,Ki (12 Fl),,1l,1
Lipton Peach PET (6x0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0440_rr9W7MisPPPYvZTAd-small.jpg,LWsB2v6iuEvD5fkXy,LWsB2v6iuEvD5fkXy,2591,Lipton Peach PET (6x0.5l),8322,Ki (6 Fl),ki,Ki (6 Fl),,0.5l,0.5
Lipton Zitrone PET (6x0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0440_nFCbjk99eEgMRXD5h-small.jpg,A65rvug5yTTiF9a6A,A65rvug5yTTiF9a6A,2592,Lipton Zitrone PET (6x0.5l),8428,Ki (6 Fl),ki,Ki (6 Fl),,0.5l,0.5
MAKAvA delighted ice tea (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0440_NZkFFsTvTPKvq3hcx-small.jpg,Bz2kJY3fTTmdiSjXP,Bz2kJY3fTTmdiSjXP,2641,MAKAvA delighted ice tea (0.33l),8190,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
"Mate - Kreuzberg Quelle (20x0,5l)",,4gtiPQ7X9Yjuhk44x,4gtiPQ7X9Yjuhk44x,2846,"Mate - Kreuzberg Quelle (20x0,5l)",8457,Ki (20 Fl),ki,Ki (20 Fl),vorbesteller | vorbesteller,"0,5l",0.5
"Mate Granatapfel - Kreuzberg Quelle (20x0,5l)",,RaDmpjh96odg3JTFE,RaDmpjh96odg3JTFE,2847,"Mate Granatapfel - Kreuzberg Quelle (20x0,5l)",8529,Ki (20 Fl),ki,Ki (20 Fl),vorbesteller | vorbesteller,"0,5l",0.5
Mezzo Mix BIB HIGH RATIO (10l),,8CKjNbdw72hmbKS5d,8CKjNbdw72hmbKS5d,2884,Mezzo Mix  BIB HIGH RATIO          (10l),8771,Karton (10 l),karton,Karton (10 l),NEU | HIGH RATIO | NEU | HIGH RATIO,10l,10
Mezzo Mix BIB (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241107-2109_FgNsYeGCEbq9s9Q5R-small.jpeg,xsedYBp4QnwXsqTbE,xsedYBp4QnwXsqTbE,2885,Mezzo Mix BIB (10l),8704,BIB,bib,BIB,,10l,10
Mezzo-Mix (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1842_bGhHq7Jrny4pLKeFW-small.jpg,cyNZJkWjk2RpBwMnY,cyNZJkWjk2RpBwMnY,2886,Mezzo-Mix (0.2l),8029,Ki (24 Fl),ki,Ki (24 Fl),,0.2l,0.2
Mezzo-Mix (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0342_uDpXrkXsSBdW9SzcD-small.jpg,JiFgZmvG5KzSMDwPv,JiFgZmvG5KzSMDwPv,2887,Mezzo-Mix (0.33l),8030,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
Mezzo-Mix (0.4l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1408_jg3xN9ZBeXY6c47BL-small.jpeg,Efzyr5zTqMepriBhh,Efzyr5zTqMepriBhh,2888,Mezzo-Mix (0.4l),8403,Ki (20 Fl),ki,Ki (20 Fl),,0.4l,0.4
Mezzo-Mix (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0441_B24uSkp5zedwjBuW5-small.jpg,TuhcPJgFtrhYMJNbG,TuhcPJgFtrhYMJNbG,2889,Mezzo-Mix (0.5l),8032,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
Mezzo-Mix Dose (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230601-0442_GkZ8GLNKCS7i8XuMv-small.jpg,FaLTygffLTf93QmCx,FaLTygffLTf93QmCx,2890,Mezzo-Mix Dose (0.33l),8034,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
Mezzo-Mix PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0343_YqYDYZtHuTepaokAr-small.jpg,DDjqRwHXrhm68avqc,DDjqRwHXrhm68avqc,2891,Mezzo-Mix PET (0.5l),8031,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
