Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
4BRO Ice Tea Lemon (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1154_sAenMWRsayRsRbHrQ-small.jpeg,6QfQz4XkMuWiCeP3A,6QfQz4XkMuWiCeP3A,8,4BRO Ice Tea Lemon (0.5l),8461,Krt (8 Fl),krt,Krt (8 Fl),,0.5l,0.5
4BRO Ice Tea Mango-Maracuja (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1155_heZ4ybAmBGAkKpjCE-small.jpg,ira5aLhrzbQ2uT7K4,ira5aLhrzbQ2uT7K4,9,4BRO Ice Tea Mango-Maracuja (0.5l),8464,Krt (8 Fl),krt,Krt (8 Fl),,0.5l,0.5
4BRO Ice Tea Peach (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1155_mJ7oHSPLsucAFGxsS-small.jpg,ooFFrCx9vNw5k6i6E,ooFFrCx9vNw5k6i6E,10,4BRO Ice Tea Peach (0.5l),8466,Krt (8 Fl),krt,Krt (8 Fl),,0.5l,0.5
"Acao Bio Granatapfel-Minze (12x0,25l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1428_5xPbF8KetzhvzHGeb-small.jpeg,gcj9cefyDwfTGH5fN,gcj9cefyDwfTGH5fN,58,"Acao Bio Granatapfel-Minze (12x0,25l)",8659,Tray,tray,Tray,,"0,25l",0.25
"Acao Bio Quitte-Zitrone (12x0,25l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1520_tXvYF47Lj4uXxTZvC-small.jpeg,qyRij4ZWxTw6SDk8P,qyRij4ZWxTw6SDk8P,59,"Acao Bio Quitte-Zitrone (12x0,25l)",8657,Tray,tray,Tray,,"0,25l",0.25
Acao Bio pink Grapefruit (12x025l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1521_7GLapFrZjaTqNJzXA-small.jpeg,ZtCzX85vu3AeWsMtf,ZtCzX85vu3AeWsMtf,60,Acao Bio pink Grapefruit (12x025l),8658,Tray,tray,Tray,,025l,025
Adelholzener ACE PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1336_fv7wByhpax8RyZ5g4-small.jpg,S3fGRh5SYrpyZ982F,S3fGRh5SYrpyZ982F,76,Adelholzener ACE PET (0.5l),8290,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Adelholzener Apfel Kräuter PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1337_MQDHta2zPu4Jy7gNE-small.jpg,ZC5Th3xmCCth9rran,ZC5Th3xmCCth9rran,77,Adelholzener Apfel Kräuter PET (0.5l),8473,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Adelholzener Apfelschorle PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1338_f86tj4ARJSoZQzLJ5-small.jpg,AnCdFj359NEkmQemv,AnCdFj359NEkmQemv,78,Adelholzener Apfelschorle PET (0.5l),8199,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Adelholzener BIO Johannisschorle PET (0.5l),,Rwb4qqr4ZxS2LYugT,Rwb4qqr4ZxS2LYugT,79,Adelholzener BIO Johannisschorle PET (0.5l),8200,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
