Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
28 Black Absolute Zero Guava-Passio (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1152_mW5uBK6CoLibe5hNF-small.jpg,458Wq3y2TLJvJbqzs,458Wq3y2TLJvJbqzs,2,28 Black Absolute Zero Guava-Passio (0.25l),10020,Ki (24 Dose),ki,Ki (24 Dose),,0.25l,0.25
28 Black Acai (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1426_qb7irvbY9s8EvKzNn-small.jpeg,kboHoDorPwjjzxuvJ,kboHoDorPwjjzxuvJ,3,28 Black Acai (0.25l),10016,Ki (24 Dose),ki,Ki (24 Dose),,0.25l,0.25
28 Black Classic (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1152_yJsbSGmZ7Ds6uNg8R-small.jpg,k7ySihY59HKtH5oGb,k7ySihY59HKtH5oGb,4,28 Black Classic (0.25l),10017,Ki (24 Dose),ki,Ki (24 Dose),,0.25l,0.25
28 Black Sour Cherry (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1153_8MM7iXNP2WsGH29h6-small.jpg,pND8cbYsob8P7GfGE,pND8cbYsob8P7GfGE,5,28 Black Sour Cherry (0.25l),10018,Ki (24 Dose),ki,Ki (24 Dose),,0.25l,0.25
28 Black Sour Mango (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1153_TzJWnnJCyPyrTDi8R-small.jpg,TvXxWP4P5EJZQkAyB,TvXxWP4P5EJZQkAyB,6,28 Black Sour Mango (0.25l),10019,Ki (24 Dose),ki,Ki (24 Dose),,0.25l,0.25
Action Energy (1.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221003-1828_nvCuondGxKjFCL2fK-small.png,4CHrNEF8mmQSLZS4b,4CHrNEF8mmQSLZS4b,71,Action Energy (1.5l),10025,Krt (6 Fl),krt,Krt (6 Fl),,1.5l,1.5
Big Pump Energy (1.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-0905_65Gus8E3N9x4FeGFY-small.png,e6RSbBganCqDQmHtn,e6RSbBganCqDQmHtn,488,Big Pump Energy (1.5l),10024,Krt (6 Fl),krt,Krt (6 Fl),,1.5l,1.5
"Effect Black Acai Energy mit Kiste (24x0,25l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0919_oDo5HaYRMyQELhu36-small.jpeg,wGDDFDbuwZAXoRYAR,wGDDFDbuwZAXoRYAR,1315,"Effect Black Acai Energy mit Kiste (24x0,25l)",10061,Kiste,kiste,Kiste,,"0,25l",0.25
Effect Energy (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220815-0938_otQ5uatPY9v2ZfA8X-small.jpg,AmySpahk27q2eY2D3,AmySpahk27q2eY2D3,1316,Effect Energy (1l),10014,Ki (12 Fl),ki,Ki (12 Fl),,1l,1
Effect Energy Glas (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220815-0937_uSYguBrEHZK8sdCSB-small.jpg,SZcccxJGNxMhnhdQJ,SZcccxJGNxMhnhdQJ,1317,Effect Energy Glas (0.2l),10036,Ki (24 Fl),ki,Ki (24 Fl),,0.2l,0.2
