Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Alkkemist Gin (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1436_sNi9jzsszjwi4quja-small.jpg,uhJ6zvXBYS2Ze3AjZ,uhJ6zvXBYS2Ze3AjZ,148,Alkkemist Gin (0.7l),12136,Fl,fl,Fl,,0.7l,0.7
Amuerte Coca Leaf Gin Black Edition (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0744_Pp7a7Eg5T9orammv2-small.jpg,AdncFJoDbdWfojXFj,AdncFJoDbdWfojXFj,177,Amuerte Coca Leaf Gin Black Edition (0.7l),12158,Fl,fl,Fl,,0.7l,0.7
Amuerte Coca Leaf Gin Green Edition,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221221-1740_43isWxfuycSb8fDxW-small.png,nMkAA6sAtrGybopPy,nMkAA6sAtrGybopPy,178,Amuerte Coca Leaf Gin Green Edition,12226,Flasche,flasche,Flasche,,,
Amuerte Coca Leaf Gin Red Edition (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220615-1114_eB7eJpRGswGincquu-small.jpg,vkbr7SppBPWtgEsp7,vkbr7SppBPWtgEsp7,179,Amuerte Coca Leaf Gin Red Edition (0.7l),12207,Fl,fl,Fl,,0.7l,0.7
Amuerte Coca Leaf Gin White Edition (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0744_Q2jDcWoquniDrPgqY-small.jpg,5CwChtSFmPBM79yia,5CwChtSFmPBM79yia,180,Amuerte Coca Leaf Gin White Edition (0.7l),12159,Fl,fl,Fl,,0.7l,0.7
"Antonio Nadal London Dry Gin (0,7l)",,iC7qdnRPF9npwfgQt,iC7qdnRPF9npwfgQt,207,"Antonio Nadal London Dry Gin       (0,7l)",12027,Fl,fl,Fl,vorbesteller | vorbesteller,"0,7l",0.7
Applaus Dry Gin (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0837_BzQhFoazmFiqjmWNx-small.jpg,oYnpMp3JF7fvebk34,oYnpMp3JF7fvebk34,226,Applaus Dry Gin (0.7l),12122,Fl,fl,Fl,,0.7l,0.7
Applaus Südmarie Dry Gin (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0838_akTMP2XkCYKDhKJzX-small.jpg,LPgxxQtMNuH8WKCbX,LPgxxQtMNuH8WKCbX,227,Applaus Südmarie Dry Gin (0.7l),12123,Fl,fl,Fl,,0.7l,0.7
"Armónico Ginebra Mexican Dry Gin 0,5l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230130-0644_kewtFYJo7jYGbaaZS-small.jpg,kqzgXQBbY7N7YacSZ,kqzgXQBbY7N7YacSZ,268,"Armónico Ginebra Mexican Dry Gin 0,5l",12238,Flasche,flasche,Flasche,,"0,5l",0.5
Bathtub Gin (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1909_whCWKwcihvDnvesvT-small.jpg,viox23tS2u23uSnCz,viox23tS2u23uSnCz,409,Bathtub Gin (0.7l),12124,Fl,fl,Fl,,0.7l,0.7
Bathtub Old Tom (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-0849_HtwsdQixbrzSPSfSf-small.jpg,GW3kP6civJtvqhr6u,GW3kP6civJtvqhr6u,410,Bathtub Old Tom (0.5l),12125,Fl,fl,Fl,,0.5l,0.5
