Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Divino Roter Glühwein (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0642_pmh4DHMvM3fbzQb2g-small.jpg,46zqkfW7qszECvdDu,46zqkfW7qszECvdDu,1215,Divino Roter Glühwein (0.75l),13001,Fl,fl,Fl,,0.75l,0.75
Divino Weißer Glühwein (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0642_6GtZvX4rEpAXKfXPS-small.jpg,dqJfgYpefD8TSsKk5,dqJfgYpefD8TSsKk5,1216,Divino Weißer Glühwein (0.75l),13002,Fl,fl,Fl,,0.75l,0.75
Gerstacker Albrecht Dürer (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0642_RpWELbXcCLNbARndS-small.jpg,Qe8xLz783gm4DqZt9,Qe8xLz783gm4DqZt9,1699,Gerstacker Albrecht Dürer (10l),13004,Krt,krt,Krt,,10l,10
Gerstacker Albrecht Dürer (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0643_pNzEb3vqPw42ZNzc3-small.jpg,CRuc6nAKawFrzc2BR,CRuc6nAKawFrzc2BR,1700,Gerstacker Albrecht Dürer (1l),13003,Fl,fl,Fl,,1l,1
Gerstacker BIO Christkindles Glühwein (10l BIB),,ND2J3y9JPNa7edK9d,ND2J3y9JPNa7edK9d,1701,Gerstacker BIO Christkindles Glühwein (10l BIB),13196,BiB,bib,BiB,vorbesteller | vorbesteller,10l,10
Gerstacker Eier Punsch (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0643_9ZTYGuNye4TcrrDu4-small.jpg,d3obji9zXQjLj7rCf,d3obji9zXQjLj7rCf,1702,Gerstacker Eier Punsch (1l),13014,Fl,fl,Fl,,1l,1
Gerstacker Feuerzangenbowle (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0644_bDcR8i2Bkw4szEg64-small.jpg,ATMZCj4sPa2DdrvgW,ATMZCj4sPa2DdrvgW,1703,Gerstacker Feuerzangenbowle (1l),13013,Fl,fl,Fl,,1l,1
Gerstacker Heidelbeer Glühwein (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0644_J66ax4TTbE6ChFoh6-small.jpg,bmu5oWBhhEh6BbbSZ,bmu5oWBhhEh6BbbSZ,1704,Gerstacker Heidelbeer Glühwein (1l),13007,Fl,fl,Fl,,1l,1
Gerstacker Heidelbeer Glühwein BiB (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0644_qk2JSSD2AecNJgQqR-small.jpg,Eyvy3ASeLkcKcP7Q2,Eyvy3ASeLkcKcP7Q2,1705,Gerstacker Heidelbeer Glühwein BiB (10l),13008,Krt,krt,Krt,,10l,10
Gerstacker Kinderpunsch (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0644_MLHTaWK3FhTko6JSQ-small.jpg,RRdJ28q8hzKAMxPDp,RRdJ28q8hzKAMxPDp,1706,Gerstacker Kinderpunsch (1l),13011,Fl,fl,Fl,,1l,1
Gerstacker Kinderpunsch BiB (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0645_gmMzW3L6NGHHbY9ib-small.jpg,ZGpdN7iehiA4rxdxB,ZGpdN7iehiA4rxdxB,1707,Gerstacker Kinderpunsch BiB (10l),13012,Krt,krt,Krt,,10l,10
Gerstacker Nürnberger Christkindles (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0645_TDZnsGEd6DSgPT9Ar-small.jpg,xHfFZdJis5yyngm45,xHfFZdJis5yyngm45,1708,Gerstacker Nürnberger Christkindles (10l),13010,Krt,krt,Krt,,10l,10
Gerstacker Nürnberger Christkindles (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-1204_7aW2krGuJviPc6k2w-small.jpg,KXoiZKGfJYNhHQ3YT,KXoiZKGfJYNhHQ3YT,1709,Gerstacker Nürnberger Christkindles (1l),13009,Fl,fl,Fl,,1l,1
Gerstacker St. Lorenz Christkindl (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0645_twuRxqHF8JRdMSxQ8-small.jpg,kuXqbJzvuTCTXchxJ,kuXqbJzvuTCTXchxJ,1710,Gerstacker St. Lorenz Christkindl (1l),13005,Fl,fl,Fl,,1l,1
Gerstacker St. Lorenz Glühkindl (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0646_hWAH4xXiL9h393TbA-small.jpg,svuFcEagJvSJDK8eD,svuFcEagJvSJDK8eD,1711,Gerstacker St. Lorenz Glühkindl (10l),13006,Krt,krt,Krt,,10l,10
"Glüh Gin (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0646_E4iEKxxExjwafw58Z-small.jpg,wfyFNSGYL7bksz9Aq,wfyFNSGYL7bksz9Aq,1813,"Glüh Gin (0,7l)",13176,Fl,fl,Fl,Aktion | Aktion,"0,7l",0.7
"Landpartie - Premium Glühwein Rot (0,75l)",,ouz8oAsMvkjZYEHER,ouz8oAsMvkjZYEHER,2473,"Landpartie - Premium Glühwein Rot   (0,75l)",13195,Fl,fl,Fl,,"0,75l",0.75
"Landpartie - Premium Glühwein Weiß (0,75l)",,vECQyfdHye6EzKc6v,vECQyfdHye6EzKc6v,2474,"Landpartie - Premium Glühwein Weiß  (0,75l)",13194,FL,fl,FL,,"0,75l",0.75
