Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Andrea Da Ponte Libera Grappa di (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0751_nhgSNNnkL5dX9u6hp-small.jpeg,pWWPPcq8MbpLipHmh,pWWPPcq8MbpLipHmh,184,Andrea Da Ponte Libera Grappa di (0.7l),14034,Fl,fl,Fl,,0.7l,0.7
Andrea Da Ponte Uve Bianche (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0752_pXDwCqm6Nb2svfNi3-small.jpg,NkSYy3AhH28BwcWgJ,NkSYy3AhH28BwcWgJ,185,Andrea Da Ponte Uve Bianche (0.7l),14031,Fl,fl,Fl,,0.7l,0.7
Andrea Da Ponte Uve Bianche Gran (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0758_aBeBQ6MmENxCXXLem-small.jpg,k8giDp2adgGbznWyc,k8giDp2adgGbznWyc,186,Andrea Da Ponte Uve Bianche Gran (0.7l),14032,Fl,fl,Fl,,0.7l,0.7
Andrea Da Ponte Vecchia Prosecco (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0800_h9wFTnD6FDz5XGuDJ-small.png,pKavoGKgjcj2gtZhX,pKavoGKgjcj2gtZhX,187,Andrea Da Ponte Vecchia Prosecco (0.7l),14033,Fl,fl,Fl,,0.7l,0.7
Castagner Fuoricl. Leon Riserva 3J. (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1536_sTc2AxLYwma8SWn8r-small.jpeg,cEdzKQtfJgEEgbf8H,cEdzKQtfJgEEgbf8H,844,Castagner Fuoricl. Leon Riserva 3J. (0.7l),14007,Fl,fl,Fl,,0.7l,0.7
Castagner Fuoriclasse Leon Amarone (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0651_t3SJG47FwG7rxAqdL-small.jpg,aJuGnMFRXLM9SuYuk,aJuGnMFRXLM9SuYuk,845,Castagner Fuoriclasse Leon Amarone (0.7l),14008,Fl,fl,Fl,,0.7l,0.7
Castagner Fuoriclasse Leon Prosecco (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0651_P7zyHDg5o7iRsL4w3-small.jpg,7nzAqKLDGanwuvkLL,7nzAqKLDGanwuvkLL,846,Castagner Fuoriclasse Leon Prosecco (0.7l),14006,Fl,fl,Fl,,0.7l,0.7
Castagner Torba Nera 3 Anni (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0652_v39uEqRXcHF7SgDi3-small.jpg,mrPz9cYYpeTtokgZZ,mrPz9cYYpeTtokgZZ,847,Castagner Torba Nera 3 Anni (0.7l),14010,Fl,fl,Fl,,0.7l,0.7
Castagner Torba Nera 7 Anni (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0652_hQfuR3xrQXckMxRnC-small.jpg,r2x62mnhLtttD8saD,r2x62mnhLtttD8saD,848,Castagner Torba Nera 7 Anni (0.7l),14011,Fl,fl,Fl,,0.7l,0.7
Castagner Torba Rossa Riserva (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0652_Ma8cbdSzvAESy7D66-small.jpg,xyxoB75eHYkwkMGWX,xyxoB75eHYkwkMGWX,849,Castagner Torba Rossa Riserva (0.5l),14009,Fl,fl,Fl,,0.5l,0.5
