Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"Alpro Barista Sojamilch 8x1,0l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0810_E8tiQL4bAfhFagPof-small.jpeg,vqFPPXLNdaq6uJ3Wi,vqFPPXLNdaq6uJ3Wi,164,"Alpro Barista Sojamilch 8x1,0l",93094,Karton,karton,Karton,,"1,0l",1.0
Amarettini 500g,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0811_RsBaC2Gn4o9tihZZP-small.jpg,qtM6ZTxfLivaYkbwe,qtM6ZTxfLivaYkbwe,167,Amarettini 500g,15008,Pkg,pkg,Pkg,,,
Caffè Elevato Nero (1kg),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0434_68oji55iK3J2bLJvE-small.jpg,QsQbMhacgiqwFeMow,QsQbMhacgiqwFeMow,754,Caffè Elevato Nero (1kg),15001,Pkg,pkg,Pkg,,,
Caffè Elevato ORO (1kg),,ZLS77abP5id8y5oMS,ZLS77abP5id8y5oMS,755,Caffè Elevato ORO (1kg),15003,Pkg,pkg,Pkg,,,
ChariTea African Earl Grey 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220603-0908_LoqSNPjuR4DSaDk8Y-small.png,,,,,,,,,,,
ChariTea Arabian Mint 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1052_wNi2qY5Mx6se8stn3-small.png,,,,,,,,,,,
ChariTea Black Darjeeling 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1053_bHSieuL5n2tNkewEE-small.png,,,,,,,,,,,
ChariTea Chamomille 6x9,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1054_Yixei6MFKQb632vT4-small.jpg,,,,,,,,,,,
ChariTea Clean Green 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1054_jmmitGHeGfRnKuXNk-small.png,,,,,,,,,,,
ChariTea Ginger Lemon 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1055_qKMkBRsh38g62sFyC-small.png,,,,,,,,,,,
ChariTea Green Himalaya 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1055_L35cYpXZk2CygwBoF-small.png,,,,,,,,,,,
ChariTea Happy Belly 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2117_Kz3oNRfEoXiSZxnCi-small.png,,,,,,,,,,,
ChariTea Masala Chai 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2117_Qv2eLWuqpqMwSsLtm-small.png,,,,,,,,,,,
ChariTea Red Rooibos 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2118_JC8fbyZPTzou6hueD-small.jpg,,,,,,,,,,,
ChariTea Wild Fruit 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2119_y2PtffZYGWvy5sbxo-small.png,,,,,,,,,,,
Coatina Kakaopulver weiß 500g,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0349_dkieTLRn4zi8J76Bf-small.png,,,,,,,,,,,
Hellma Zuckersticks 500 Stk,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0705_XBuzthT9ppmE7nLz5-small.jpg,trMmjQPuJ8dremNM9,trMmjQPuJ8dremNM9,2050,Hellma Zuckersticks 500 Stk,15034,Pkg (500 Stk),pkg,Pkg (500 Stk),,,
Hellma Zuckersticks 750 Stk,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0706_uFb56a6aMN2bZkhHN-small.jpg,N2zDZd9EiLcs3J5km,N2zDZd9EiLcs3J5km,2051,Hellma Zuckersticks 750 Stk,15009,Pkg,pkg,Pkg,,,
Kartell Zuckersticks braun 4g 2000 Stück,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1551_QL9kcPLzGjTHk7adC-small.jpeg,Y5FgPcF6Xen9Jixw4,Y5FgPcF6Xen9Jixw4,2329,Kartell Zuckersticks braun 4g 2000 Stück,15045,Karton,karton,Karton,,,
"Kartell Zuckersticks weiß 4g, 2000 Stück",,h6e2RkzrTcDSanqpH,h6e2RkzrTcDSanqpH,2330,"Kartell Zuckersticks weiß 4g, 2000 Stück",15046,Karton,karton,Karton,,,
Lotus Kekse Biscoff 300 Stk,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0709_PyiomBcuvEDQCbQ9b-small.jpg,6uvaZcbF6Bpu7xY3P,6uvaZcbF6Bpu7xY3P,2596,Lotus Kekse Biscoff 300 Stk,15007,Pkg (300 Stk),pkg,Pkg (300 Stk),,,
Matcha Latte Pulver (1kg),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250428-0928_zhjr9EKYa6hCzyNxC-small.jpeg,ZdWdz6nnYPPnP4WsJ,ZdWdz6nnYPPnP4WsJ,2845,Matcha Latte Pulver (1kg),15051,Standbeutel,standbeutel,Standbeutel,,,
"Milch Hausmarke 1,5% 1Liter (12x1l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0828_jXfPvzLHWxwCQHe6j-small.jpeg,YQD3axx43wfCM7HYH,YQD3axx43wfCM7HYH,2901,"Milch Hausmarke 1,5% 1Liter (12x1l)",93117,Karton,karton,Karton,,1L,1
"Milch Hausmarke 3,5% 1Liter (12x1l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0810_KP8seZx5HkpnPtJsF-small.jpeg,gW4NWownkANkXcCS5,gW4NWownkANkXcCS5,2902,"Milch Hausmarke 3,5% 1Liter (12x1l)",93118,Karton,karton,Karton,,1L,1
"Minus L Laktosefreie H-Milch 1,5% (10x1,0l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0709_TdzH35Ykp5peSXzJz-small.jpg,8WTkFa7cPM5rbddpD,8WTkFa7cPM5rbddpD,2906,"Minus L Laktosefreie H-Milch 1,5% (10x1,0l)",93022,Karton,karton-,Karton,,"1,0l",1.0
Nespresso Zenius Maschine + Set,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1553_DNiY4eiW2CWhSL5TT-small.jpeg,DRxTZLYEBSgapXHMh,DRxTZLYEBSgapXHMh,3241,Nespresso Zenius Maschine + Set,15038,Stk,stk,Stk,,,
Oatly Haferdrink Barista 6x1l,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220607-1200_LnrLS2hJyrmoWMFij-small.jpg,ypHXyFAMpC6NsRDhq,ypHXyFAMpC6NsRDhq,3317,Oatly Haferdrink Barista 6x1l,93021,Karton,karton,Karton,,1l,1
REINES Matcha Pulver 500gramm,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250616-1329_XoLpqyd5ZZoyrHWCA-small.jpeg,tAcMvxbvtHica7MYx,tAcMvxbvtHica7MYx,3636,REINES Matcha Pulver 500gramm,15052,Standbeutel,standbeutel,Standbeutel,,,
Rioba Kaffeesahne 10% Fett (0.01l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1553_oBB37syRJ293CPaT7-small.jpeg,KoktMPToPnuhTDm9P,KoktMPToPnuhTDm9P,3799,Rioba Kaffeesahne 10% Fett (0.01l),15029,Stk,stk,Stk,,0.01l,0.01
Rioba Kaffeesahne 10% Fett 240x10g,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230403-0530_R7qu8kvtdFNYX9WkH-small.png,9hEsq5dANDJjMDgdg,9hEsq5dANDJjMDgdg,3800,Rioba Kaffeesahne 10% Fett 240x10g,15047,Karton,karton,Karton,,,
Rioba Süßstofftabletten (60g),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0711_6PPQBDqzeF9m8Fryh-small.jpg,L2Ca5Sw8CL65zfKqb,L2Ca5Sw8CL65zfKqb,3801,Rioba Süßstofftabletten (60g),15028,Pkg (500 Stk),pkg,Pkg (500 Stk),,,
