name,group,spec,status
Meilenstein Massivhaus GmbH,Standardgruppe,36 FAVORITEN,Zuletzt bestellt vor 15 Tagen
Meiner Mött's Erfrischung UG,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Meinzinger,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Meisner,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Melanie Kuhn,Standardgruppe,1 FAVORITEN,Zuletzt bestellt vor 5 Monaten
Melissa Girmscheid,Standardgruppe,56 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Menig Optik,Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor 14 Tagen
Mennig Wisniewski & Konrad 970 GbR,Standardgruppe,61 FAVORITEN,Zuletzt bestellt vor einem Tag
Mercato Di Dio Nürnberg GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Merz-Merz-Gosoge GbR,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 29.04.22)
Metro Deutschland GmbH,Standardgruppe,1 FAVORITEN,Einladung noch nicht angenommen
Metzgerei Freihardt,Standardgruppe,45 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Meyer,Standardgruppe,26 FAVORITEN,Zuletzt bestellt vor einem Monat
Meyers Bistro,Standardgruppe,32 FAVORITEN,Zuletzt bestellt vor einem Monat
Mezze Nürnberg,Standardgruppe,14 FAVORITEN,Noch keine Bestellung seit 9 Monate
Meßenzehl,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Michael Gaschler Unternehmens-,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Michael Nauderer jr.,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 8 Monate
Michael Neeser,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 01.04.25)
Michael Winkelmann,Dienstag,FAVORITEN HINZUFÜGEN,Daten unvollständig
Milch und Zucker,Standardgruppe,11 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Mille,Standardgruppe,132 FAVORITEN,Zuletzt bestellt vor 2 Monaten
