Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Amaretto Hausmarke (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220829-0938_GdTFnLubXXdpQQKv4-small.jpg,7qGzHX9CJzcRQQqYo,7qGzHX9CJzcRQQqYo,168,Amaretto Hausmarke (1l),16006,Fl,fl,Fl,,1l,1
"Amaretto Nobella (1,0l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230829-0441_3sGHLtoQ657K7DZ2K-small.jpeg,PTwxDq2yaye4YYnX3,PTwxDq2yaye4YYnX3,169,"Amaretto Nobella (1,0l)",16227,Flasche,flasche-,Flasche,,"1,0l",1.0
Amarillo Ingwer Likör (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-1218_dXAJ7ktrr4q2Tc78u-small.jpg,N7Tm2C4ZG6RMRGHYs,N7Tm2C4ZG6RMRGHYs,170,Amarillo Ingwer Likör (1l),16202,Flasche,flasche-,Flasche,,1l,1
Amarula Wild Fruit Cream (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0725_pQXRFK87FMFro4zpd-small.jpg,jwQo37hqcqppx4pox,jwQo37hqcqppx4pox,172,Amarula Wild Fruit Cream (0.7l),16051,Fl,fl,Fl,,0.7l,0.7
Ancho Reyes Original (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0746_sFtP9DiTGjMSgA54e-small.jpg,qWNpi2BBpTEhLHqaS,qWNpi2BBpTEhLHqaS,181,Ancho Reyes Original (0.7l),16168,Fl,fl,Fl,,0.7l,0.7
Ancho Reyes Verde (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0747_wSXnpdue44pLbyRaN-small.jpg,Pdegs8kJKCAxkEsDt,Pdegs8kJKCAxkEsDt,182,Ancho Reyes Verde (0.7l),16169,Fl,fl,Fl,,0.7l,0.7
Andalö Original Aperitif (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0749_P77KrBzhY92W2NfNB-small.jpg,x9Ai8u9onKXwyrPu8,x9Ai8u9onKXwyrPu8,183,Andalö Original Aperitif (0.7l),16139,Fl,fl,Fl,,0.7l,0.7
"Apfelstrudel , Das Orginale",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240520-1428_yeuLSQEb8cEQQPHLA-small.jpeg,L5aBP8ZAWAtpZ9nCN,L5aBP8ZAWAtpZ9nCN,216,"Apfelstrudel , Das Orginale",2111,Fl,fl,Fl,Vorbesteller | Vorbesteller,,
Apricot Brandy Hausmarke (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220829-0955_JuapyjarxGrjnukpi-small.jpg,ooswy8jmsLnreEeZE,ooswy8jmsLnreEeZE,232,Apricot Brandy Hausmarke (1l),16001,Fl,fl,Fl,,1l,1
"BUMSBAR (0,02l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230823-0854_d2XjHNbwtoJRFnvMm-small.jpeg,m5gPPpqfRfZiFq9zt,m5gPPpqfRfZiFq9zt,308,"BUMSBAR (0,02l)",16222,Karton,karton,Karton,,"0,02l",0.02
Baileys (0.05l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-0844_SMAQHS2RnTS22Cf9K-small.jpg,ceRXWkB8Kdxb75K6n,ceRXWkB8Kdxb75K6n,378,Baileys (0.05l),16037,Fl,fl,Fl,,0.05l,0.05
Baileys (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221107-1002_QFWp72XY9N7ueHHhP-small.jpg,jTHdmYqYRyKWhW6LL,jTHdmYqYRyKWhW6LL,379,Baileys (0.7l),16038,Fl,fl,Fl,,0.7l,0.7
Baileys (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1130_rvKfxjTxiNc2arsEt-small.jpg,rmZFZ24BtQ27LxzwK,rmZFZ24BtQ27LxzwK,380,Baileys (1l),16039,Fl,fl,Fl,,1l,1
Baileys Chocolat Luxe (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230118-2154_MZrFXR6NvnqRq3xY6-small.jpg,62TvRHM263sDMWivr,62TvRHM263sDMWivr,381,Baileys Chocolat Luxe (0.5l),16042,Fl,fl,Fl,,0.5l,0.5
Baileys Salted Caramel (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230118-2154_5w8LxezezCdZdY6GM-small.jpg,Jz8AReqLhJx94P9iZ,Jz8AReqLhJx94P9iZ,382,Baileys Salted Caramel (0.5l),16041,Fl,fl,Fl,,0.5l,0.5
Baileys Strawberries & Cream (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-1238_herGYna4FMnmGF4Xw-small.jpg,h37gq5tMopovswa32,h37gq5tMopovswa32,383,Baileys Strawberries & Cream (0.5l),16043,Fl,fl,Fl,,0.5l,0.5
Batida de Coco (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221215-1652_d23GexuQWFcp742in-small.jpg,MFjG4hfRcXALJZ6kP,MFjG4hfRcXALJZ6kP,411,Batida de Coco (0.7l),16049,Fl,fl,Fl,,0.7l,0.7
Batida de Coco (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221220-0916_bZwRJjHsYvnW8ng4P-small.jpg,8GcAB2HYLAnJz9FR4,8GcAB2HYLAnJz9FR4,412,Batida de Coco (1l),16050,Fl,fl,Fl,,1l,1
Becherovka (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230118-2156_usGJxSatBv4TjRitg-small.jpg,WiJs2zqWd3st9T626,WiJs2zqWd3st9T626,427,Becherovka (0.7l),16109,Fl,fl,Fl,,0.7l,0.7
