Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Angostura Aromatic Bitters (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0802_x96m7aEzhSvawx94K-small.jpg,4xMtrJtuJPqpo7YTq,4xMtrJtuJPqpo7YTq,189,Angostura Aromatic Bitters (0.2l),17001,Fl,fl,Fl,,0.2l,0.2
Angostura Orange Bitters (0.1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0806_pd9NiJPfxXe5mnRuS-small.jpg,Aczn7uHmztHajrfaa,Aczn7uHmztHajrfaa,191,Angostura Orange Bitters (0.1l),17002,Fl,fl,Fl,,0.1l,0.1
Fee Brothers Aztec Choc (0.15l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2059_5GBC6Yumb6WbDtQBc-small.jpg,fxrrGMe4susP97TRJ,fxrrGMe4susP97TRJ,1435,Fee Brothers Aztec Choc (0.15l),17003,Fl,fl,Fl,,0.15l,0.15
Fee Brothers Black Walnut (0.15l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2100_X8phgnSsBGbQgzXmt-small.jpg,a24QbPWWLxp4kBQtN,a24QbPWWLxp4kBQtN,1436,Fee Brothers Black Walnut (0.15l),17004,Fl,fl,Fl,,0.15l,0.15
Fee Brothers Celery (0.15l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2100_kABBrc8JgmpWspeXD-small.jpg,ofaQzLFFi53YqvbTL,ofaQzLFFi53YqvbTL,1437,Fee Brothers Celery (0.15l),17007,Fl,fl,Fl,,0.15l,0.15
Fee Brothers Fee Foam (0.15l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221228-0638_qDncFQvjMwgPQDEX3-small.jpg,6cKawo3teeDAqTA7h,6cKawo3teeDAqTA7h,1438,Fee Brothers Fee Foam (0.15l),17019,Fl,fl,Fl,,0.15l,0.15
Fee Brothers Grapefruit (0.15l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2103_LY4qWXBTd38HbQHxn-small.jpg,wc86PpiDievxzrsPX,wc86PpiDievxzrsPX,1439,Fee Brothers Grapefruit (0.15l),17005,Fl,fl,Fl,,0.15l,0.15
Fee Brothers Rhubarb (0.15l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2103_ATXFNX29mCTgWp4bg-small.jpg,vny3xYbhaxbrhmnLg,vny3xYbhaxbrhmnLg,1440,Fee Brothers Rhubarb (0.15l),17008,Fl,fl,Fl,,0.15l,0.15
Fee Brothers Whiskey Barrel Aged (0.15l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230826-0854_pfhGaKjF3GY6BDnRu-small.jpeg,r27rEYA9eZgy2pgRa,r27rEYA9eZgy2pgRa,1441,Fee Brothers Whiskey Barrel Aged (0.15l),17006,Fl,fl,Fl,,0.15l,0.15
"Mondino Aperitivo (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250520-1532_HhYoEFtnTDoyL5cbk-small.jpeg,R9v7pnpaQC3S63kc3,R9v7pnpaQC3S63kc3,2976,"Mondino Aperitivo                  (0,7l)",2126,Fl,fl,Fl,,"0,7l",0.7
Peychaud's Aromatic Bitters (0.148l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2112_MypT4KNqb6TvSANMQ-small.jpg,Ls8scjEfm7b2TzCRF,Ls8scjEfm7b2TzCRF,3474,Peychaud's Aromatic Bitters (0.148l),2074,Fl,fl,Fl,,0.148l,0.148
The Bitter Truth Celery Bitters (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2113_fHA8Q578KwLA5ut5D-small.jpg,uN9BDpYufQWBZXLKk,uN9BDpYufQWBZXLKk,4410,The Bitter Truth Celery Bitters (0.2l),17009,Fl,fl,Fl,,0.2l,0.2
The Bitter Truth Cucumber Bitters (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2113_wvjiPqkxkoNrJWbA2-small.jpg,zb5MT7KknPZxEdd68,zb5MT7KknPZxEdd68,4411,The Bitter Truth Cucumber Bitters (0.2l),17014,Fl,fl,Fl,,0.2l,0.2
The Bitter Truth Jerry Thomas Own (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-1225_nAcrP42pKpuKQ3MhQ-small.jpg,v2vT6rqSFuzJP6nNa,v2vT6rqSFuzJP6nNa,4412,The Bitter Truth Jerry Thomas Own (0.2l),17011,Fl,fl,Fl,,0.2l,0.2
The Bitter Truth Old Time Aromatic (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-1225_k8ZSKK3X4kG8hBRvP-small.jpg,jfEQx2mWSj56Z6c5s,jfEQx2mWSj56Z6c5s,4413,The Bitter Truth Old Time Aromatic (0.2l),17012,Fl,fl,Fl,,0.2l,0.2
The Bitter Truth Olive Bitters (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2114_ndGFE6B52Dh99kubK-small.jpg,23uLKaXswxRkctrLY,23uLKaXswxRkctrLY,4414,The Bitter Truth Olive Bitters (0.2l),17018,Fl,fl,Fl,,0.2l,0.2
The Bitter Truth Orange Flower (0.12l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-1226_QeAC7XF28Buc7F22P-small.jpg,rjvnZNp3BiikQwird,rjvnZNp3BiikQwird,4415,The Bitter Truth Orange Flower (0.12l),17017,Fl,fl,Fl,,0.12l,0.12
