Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Daniel Then - Haselnuss (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231207-0914_mRFvf5XSgj9wZN9Dj-small.jpeg,,,,,,,,,,,
Daniel Then - Hefebrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0838_gF7ifzphqTB7uNSgB-small.jpeg,,,,,,,,,,,
Daniel Then - Mirabelle (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0838_mzf6wLKh6Ef8yn2sD-small.jpeg,,,,,,,,,,,
Daniel Then - Quitte (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0839_Cbps33c6Y2cRYHAn7-small.jpeg,,,,,,,,,,,
Daniel Then - Trester (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0839_CdRR2GeynpiYh5qsa-small.jpeg,,,,,,,,,,,
Daniel Then - Trester im Holzfass (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0839_E9t4gi8fnPyoCx5ie-small.jpeg,,,,,,,,,,,
Daniel Then - Weinbergpfirsich (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0839_6j8q3B5bwiukhSWwy-small.jpeg,,,,,,,,,,,
Daniel Then - Williamsbirne (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1351_hEG5x8WLgMZFdSzM4-small.jpeg,,,,,,,,,,,
Daniel Then - Zwetschge (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0839_bZE7FmZGMroxPA2XP-small.jpeg,,,,,,,,,,,
Drexler Haselnuss (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0642_77Xt8JzBsCTqacaHo-small.jpg,L9Agw7qv7MpG6Qza7,L9Agw7qv7MpG6Qza7,1286,Drexler Haselnuss (1l),19023,Fl,fl,Fl,,1l,1
Haas - Himbeergeist Kanister (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1019_NAiPKupZGD3zn9Ee6-small.jpeg,H7288tq6hqvasfnYu,H7288tq6hqvasfnYu,1971,Haas -  Himbeergeist Kanister   (5l),19076,Kansiter,kansiter,Kansiter,,5l,5
Haas - Apfelbrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0644_sKiHFBGyZsvenfi8Z-small.jpg,hHEZgdEZfvMQJbs6B,hHEZgdEZfvMQJbs6B,1974,Haas - Apfelbrand (0.5l),19056,Fl,fl,Fl,,0.5l,0.5
Haas - Aprikosenbrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0841_aBNYXXzs8tp2cu29s-small.jpeg,i8qaM3n3Hwo6Dh7xK,i8qaM3n3Hwo6Dh7xK,1975,Haas - Aprikosenbrand (0.5l),19057,Fl,fl,Fl,,0.5l,0.5
Haas - Birnenbrand (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0841_WZie3Jv2D76daJKpo-small.jpeg,o7SD5iXGPPFWY94hN,o7SD5iXGPPFWY94hN,1976,Haas - Birnenbrand (0.2l),19058,Fl,fl,Fl,,0.2l,0.2
Haas - Birnenbrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0645_tQWmAELHhzheS8zQ2-small.jpg,9NEYhvK4WuSQoTwJi,9NEYhvK4WuSQoTwJi,1977,Haas - Birnenbrand (0.5l),19059,Fl,fl,Fl,,0.5l,0.5
"Haas - Brombeerlikör Kanister (5,0l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1020_C85e4Z63StHfo87S9-small.jpeg,fvZBBfrfD8EhS26ST,fvZBBfrfD8EhS26ST,1979,"Haas - Brombeerlikör Kanister  (5,0l)",19070,Kanister,kanister,Kanister,,"5,0l",5.0
Haas - Fränkische Williams (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0645_fgKk2uhKAmAXFZGW2-small.jpg,yn2hvmRetp8Pv2hir,yn2hvmRetp8Pv2hir,1980,Haas - Fränkische Williams (0.5l),19045,Fl,fl,Fl,,0.5l,0.5
Haas - Haselnussgeist (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0645_9T3Rdrjo3NhYyguRS-small.jpg,LDx6dsyBpBzpQPGEM,LDx6dsyBpBzpQPGEM,1981,Haas - Haselnussgeist (0.5l),19048,Fl,fl,Fl,,0.5l,0.5
Haas - Haselnussgeist (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0817_evCLkd5byQ3g6GpEY-small.jpeg,Luq2bcuJdouCp6TQg,Luq2bcuJdouCp6TQg,1982,Haas - Haselnussgeist (1l),19088,Fl.,fl,Fl.,,1l,1
Haas - Himbeergeist (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0646_nKSSMPT9F8EeicNtq-small.jpg,ArNHHueqf7vPQJEeF,ArNHHueqf7vPQJEeF,1983,Haas - Himbeergeist (0.5l),19046,Fl,fl,Fl,,0.5l,0.5
Haas - Kirschwasser (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0646_bXWWQfD5s7brvN7aL-small.jpg,CsudYxBmPSnPYZMrP,CsudYxBmPSnPYZMrP,1984,Haas - Kirschwasser (0.5l),19060,Fl,fl,Fl,,0.5l,0.5
Haas - Mirabellenbrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0646_vRidWCAtzZs3WHFCW-small.jpg,PGXexAe6TTvapEbcE,PGXexAe6TTvapEbcE,1986,Haas - Mirabellenbrand (0.5l),19053,Fl,fl,Fl,,0.5l,0.5
Haas - Obstler (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0647_5ijPSPzWSiCnkt6oP-small.jpg,NcNAnpX3xXx5GXPDx,NcNAnpX3xXx5GXPDx,1987,Haas - Obstler (0.5l),19050,Fl,fl,Fl,,0.5l,0.5
Haas - Pflaumenbrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0841_S46F6c4iWNmT4GEDi-small.jpeg,BNHBpJ8boD7qFKN7h,BNHBpJ8boD7qFKN7h,1988,Haas - Pflaumenbrand (0.5l),19061,Fl,fl,Fl,,0.5l,0.5
Haas - Quittenbrand (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0841_hqfdg95EFwNayCswu-small.jpeg,jG7oN5Rc6R6pryJHL,jG7oN5Rc6R6pryJHL,1989,Haas - Quittenbrand (0.2l),19062,Fl,fl,Fl,,0.2l,0.2
Haas - Quittenbrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0647_iZMYmErKEvnBBygEG-small.jpg,yCH8qze6tjXKy4j3X,yCH8qze6tjXKy4j3X,1990,Haas - Quittenbrand (0.5l),19063,Fl,fl,Fl,,0.5l,0.5
Haas - Quittenlikör (1l),,YDPwY5nB9bXkYiJ9e,YDPwY5nB9bXkYiJ9e,1991,Haas - Quittenlikör (1l),19091,Fl,fl,Fl,,1l,1
Haas - Roter Weinbergpfirsich (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220610-1656_jK7TPZpFBThRZ6Sm4-small.jpg,Cy2A8Y2Aj6QHhQzdY,Cy2A8Y2Aj6QHhQzdY,1992,Haas - Roter Weinbergpfirsich (0.5l),19044,Fl,fl,Fl,,0.5l,0.5
"Haas - Roter Weinbergpfirsichlikör Kanister (5,0l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1020_g97JyZmnmKuiZCjnD-small.jpeg,m4BL3xWsg2AdM4aiJ,m4BL3xWsg2AdM4aiJ,1993,"Haas - Roter Weinbergpfirsichlikör Kanister (5,0l)",19071,Kanister,kanister,Kanister,,"5,0l",5.0
Haas - Schlehen Geist (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0647_NvzgtKKbJYtDwDruX-small.jpg,FyGJAWfj6fBa9P2Dq,FyGJAWfj6fBa9P2Dq,1994,Haas - Schlehen Geist (0.5l),19051,Fl,fl,Fl,,0.5l,0.5
Haas - Schlehengeist (1l),,KDhFmE8ieXbWF282h,KDhFmE8ieXbWF282h,1995,Haas - Schlehengeist (1l),19089,Fl.,fl,Fl.,,1l,1
Haas - Schwarzer Johannisbeer (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0648_zYenzP34qCpPWJM7K-small.jpg,GGRv2JGDsWGYRiomn,GGRv2JGDsWGYRiomn,1996,Haas - Schwarzer Johannisbeer (0.5l),19055,Fl,fl,Fl,,0.5l,0.5
Haas - Walnussgeist (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0841_bjNhAQPCA5kREdsfF-small.jpeg,rAybmb7PsdpTguXJi,rAybmb7PsdpTguXJi,1999,Haas - Walnussgeist (0.2l),19064,Fl,fl,Fl,,0.2l,0.2
Haas - Walnussgeist (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0648_Ccc6pbvW6Wex6wLvB-small.jpg,88ZHANtMfWNufXHqd,88ZHANtMfWNufXHqd,2000,Haas - Walnussgeist (0.5l),19065,Fl,fl,Fl,,0.5l,0.5
Haas - Wildfruchtgeist (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0841_eDCyfvfjiizjNThLe-small.jpeg,GGi8aZAcv8zfLBNkS,GGi8aZAcv8zfLBNkS,2002,Haas - Wildfruchtgeist (0.5l),19049,Fl,fl,Fl,,0.5l,0.5
"Haas - Williams, fassgelagert (0.5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0842_DaiiXiGtrEPJTnTMa-small.jpeg,zF5D8n9PaLieQmn3S,zF5D8n9PaLieQmn3S,2003,"Haas - Williams, fassgelagert (0.5l)",19067,Fl,fl,Fl,,0.5l,0.5
Haas - Williamsbirne (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0812_E6saZMkP7kbXzmQ28-small.jpeg,vnSSNS92C9Anobxqd,vnSSNS92C9Anobxqd,2004,Haas - Williamsbirne (1l),19090,Fl.,fl,Fl.,,1l,1
Haas - Zwetschgenwasser (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240701-1201_xMZ9xyZhyyHgzWTWM-small.jpeg,R3Gdc5px2zh359JCA,R3Gdc5px2zh359JCA,2005,Haas - Zwetschgenwasser (0.5l),19066,Fl,fl,Fl,,0.5l,0.5
"Haas - Zwetschgenwasser, fass- (0.5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0842_yGfTTLZSdfLg6ZP8b-small.jpeg,dPyLHpTwcmmnGALv5,dPyLHpTwcmmnGALv5,2006,"Haas - Zwetschgenwasser, fass- (0.5l)",19047,Fl,fl,Fl,,0.5l,0.5
Leutenbach Haselnussgeist (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0843_fPvhSDnyWEH8c8hAy-small.jpeg,SpbH2YKnh46P6pXik,SpbH2YKnh46P6pXik,2553,Leutenbach Haselnussgeist (1l),19022,Fl,fl,Fl,,1l,1
Leutenbach Obstler (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-0843_p5hpJTshf7MkSxEnC-small.jpeg,Yb3krivduZLRKmx32,Yb3krivduZLRKmx32,2554,Leutenbach Obstler (1l),19018,Fl,fl,Fl,,1l,1
