Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Alpenschnaps Haselnuss (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0804_uXaMx3Fni8NCqdDHZ-small.jpg,yJPXkcj6NbA5wpG6n,yJPXkcj6NbA5wpG6n,158,Alpenschnaps Haselnuss (1l),18050,Fl,fl,Fl,,1l,1
Alpenschnaps Himbeere (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0805_rK4WndtA3ch8i5sRa-small.jpg,x8mdefuX54LYF3Fea,x8mdefuX54LYF3Fea,159,Alpenschnaps Himbeere (1l),18051,Fl,fl,Fl,,1l,1
Alpenschnaps Marille (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0805_JTgojHbtCPd5ktXWM-small.jpg,JCYctBCTKCbR87pGo,JCYctBCTKCbR87pGo,160,Alpenschnaps Marille (1l),18054,Fl,fl,Fl,,1l,1
Alpenschnaps Obstler (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0806_xz2Mtcp2R8vSLubFP-small.jpg,vpc289oBf9zJG2XKR,vpc289oBf9zJG2XKR,161,Alpenschnaps Obstler (1l),18052,Fl,fl,Fl,,1l,1
Alpenschnaps Williamsbirne (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0806_WvGd2P5oqiY34xGFv-small.jpg,RKmNFL9bPfWtvgJtM,RKmNFL9bPfWtvgJtM,162,Alpenschnaps Williamsbirne (1l),18053,Fl,fl,Fl,,1l,1
Alpenschnaps Williamsbirne m. Honig (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0807_JfRSQWpQrdzsNrRyD-small.jpg,RYHwHCpXFzA4n6nCY,RYHwHCpXFzA4n6nCY,163,Alpenschnaps Williamsbirne m. Honig (1l),18077,Fl,fl,Fl,,1l,1
"Alte Hof Williamsbirne 0,7",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1601_mtDB5N5KrcXBZv9WE-small.jpeg,GLCidqpNQhiAKmdTS,GLCidqpNQhiAKmdTS,165,"Alte Hof Williamsbirne 0,7",18085,Flasche,flasche-,Flasche,,,
"Barsol Pisco Quebranta (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250522-0750_AX4d8DKnqfniejNj7-small.jpeg,uXGwqH7XZWpRzbC6C,uXGwqH7XZWpRzbC6C,407,"Barsol Pisco Quebranta              (0,7l)",18074,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
"Bischof Halunke Die schwarze Johannisbeere (0,35l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250512-1204_Tau2xmX6RL24f5qxN-small.jpeg,zQ7a6BJ8d9GZJ7QpL,zQ7a6BJ8d9GZJ7QpL,520,"Bischof Halunke Die schwarze Johannisbeere   (0,35l)",18094,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,35l",0.35
"Bischof Herzdame Die Quitte (0,35l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250512-1206_tzofvpqZGrp8j7gHs-small.jpeg,vZ5DQYFiKEHoohAXJ,vZ5DQYFiKEHoohAXJ,521,"Bischof Herzdame Die Quitte        (0,35l)",18095,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,35l",0.35
"Bischof Schamane Der Ingwergeist (0,35l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250522-0723_ByiT5cDdo8XgL4AqR-small.jpeg,hTkynvmFBzLu8a4Qp,hTkynvmFBzLu8a4Qp,522,"Bischof Schamane Der Ingwergeist   (0,35l)",18096,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,35l",0.35
"Bischof Süßstoff Der Dunkelbierlikör (0,35l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250522-0724_JnQp4Eezj3PCRdvGX-small.jpeg,MEvzhPSc9Jda8PpLi,MEvzhPSc9Jda8PpLi,523,"Bischof Süßstoff Der Dunkelbierlikör (0,35l)",18097,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,35l",0.35
"Bischof Süßstoff Der Holunderblütenlikör (0,35l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250522-0725_kCAGRCY2CG9dttr22-small.jpeg,yA9JZXAYNPMsvQXWu,yA9JZXAYNPMsvQXWu,524,"Bischof Süßstoff Der Holunderblütenlikör (0,35l)",18098,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,35l",0.35
"Bischof Süßstoff Holunderlikör (0,35l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250522-0726_MibTM55Eboy3eNbsC-small.jpeg,GbSGgrKNd8dNsZaHC,GbSGgrKNd8dNsZaHC,525,"Bischof Süßstoff Holunderlikör (0,35l)",18099,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,35l",0.35
"Echter Nordhäuser Doppelkorn (1,0l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230915-1036_89sdm452Z4hYmjNaC-small.jpeg,g34p8gdYncQuWd6QA,g34p8gdYncQuWd6QA,1299,"Echter Nordhäuser Doppelkorn (1,0l)",18087,Flasche,flasche-,Flasche,,"1,0l",1.0
"Echter Nordhäuser Doppelkorn 1,0l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0716_mZB8jH8aiHwCcrkxa-small.jpg,hYG47k3DTi9cbbzo5,hYG47k3DTi9cbbzo5,1300,"Echter Nordhäuser Doppelkorn 1,0l",18083,Flasche,flasche,Flasche,,"1,0l",1.0
Fränkischer Hochmoorgeist (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0716_P78xHDShHTbFB4ogD-small.jpg,QGBG4RfPvqcY5deym,QGBG4RfPvqcY5deym,1619,Fränkischer Hochmoorgeist (0.7l),18061,Fl,fl,Fl,,0.7l,0.7
"Gößwein Haselnuss Spirtuose (0,5l)",,T26N3JsBLpXRxme3X,T26N3JsBLpXRxme3X,1967,"Gößwein Haselnuss Spirtuose        (0,5l)",19081,Fl,fl,Fl,,"0,5l",0.5
"Gößwein Schlehengeist Langhalsflasche (0,5l)",,AeFLeY22ZghdK793n,AeFLeY22ZghdK793n,1968,"Gößwein Schlehengeist Langhalsflasche (0,5l)",19082,Fl,fl,Fl,,"0,5l",0.5
"Gößwein Williams Christ Tonkrug (0,7l)",,eF9jAWgfi3AiqB6bw,eF9jAWgfi3AiqB6bw,1969,"Gößwein Williams Christ Tonkrug    (0,7l)",19083,Fl,fl,Fl,,"0,7l",0.7
Haas - Obstler Kanister (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1016_9L3vTQnrCvqMnDBCP-small.jpeg,qgMTSgxdry8zzuTCH,qgMTSgxdry8zzuTCH,1972,Haas -  Obstler Kanister  (5l),19077,Kanister,kanister,Kanister,,5l,5
Haas - Schlehengeist Kanister (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1017_jcfQACsy75aay5eLt-small.jpeg,s6vCeYw4wg4fpBFpP,s6vCeYw4wg4fpBFpP,1973,Haas -  Schlehengeist Kanister (5l),19075,Kanister,kanister,Kanister,,5l,5
Haas - Mirabelle Kanister (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1017_zeactmPotvr7Jpr7F-small.jpeg,5gvcdN3L3bn8eoZWK,5gvcdN3L3bn8eoZWK,1985,Haas - Mirabelle Kanister (5l),19073,Kanister,kanister,Kanister,,5l,5
Haas - fränkischer Williams Kanister (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1017_i79kAMciw8NaxJ26f-small.jpeg,FbgGuSMD2ZGY5wQGn,FbgGuSMD2ZGY5wQGn,2007,Haas - fränkischer Williams Kanister (5l),19074,Kanister,kanister,Kanister,,5l,5
Haas- Haselnussgeist Kanister (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1017_khHWQbQbPb8qWjBib-small.jpeg,S9m7vE8Tgiu9Par6G,S9m7vE8Tgiu9Par6G,2008,Haas- Haselnussgeist Kanister (5l),19072,Kanister,kanister,Kanister,,5l,5
Kastelburg Waldhimbeere - ABVERKAUF - (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0717_gC5iRz7M2Zuf8KFiH-small.jpg,Tz7R3jqTyX6eqteXy,Tz7R3jqTyX6eqteXy,2331,Kastelburg Waldhimbeere - ABVERKAUF - (1l),18058,Fl,fl,Fl,,1l,1
Lantenhammer Haselnuss (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0718_YnfoX2bGZ9WXJKkwD-small.jpg,ziLqTyREjpDwCNZJQ,ziLqTyREjpDwCNZJQ,2478,Lantenhammer Haselnuss (0.5l),18022,Fl,fl,Fl,,0.5l,0.5
Lantenhammer Marille im RUMULT Fass gereift (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0747_iL8mCiWb78ACzF8kJ-small.jpeg,ExBNefGSyRLDq7qg2,ExBNefGSyRLDq7qg2,2481,Lantenhammer Marille im RUMULT Fass gereift  (0.5l),18070,Fl,fl,Fl,Vorbesteller | Vorbesteller,0.5l,0.5
Lantenhammer Marillenbrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0718_XXWDcjX9bs3ksDEkg-small.jpg,NhKEP2gyBo9Xaozw8,NhKEP2gyBo9Xaozw8,2482,Lantenhammer Marillenbrand (0.5l),18071,Fl,fl,Fl,,0.5l,0.5
Lantenhammer Mirabelle (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0719_jz2ZNFWeDwQAGREh4-small.jpg,QA27FMyYZ7CJTxD8P,QA27FMyYZ7CJTxD8P,2483,Lantenhammer Mirabelle (0.5l),18072,Fl,fl,Fl,,0.5l,0.5
Lantenhammer Obstbrand (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0719_PiDsnSLd7tm6prKpe-small.jpg,JRooxrMMM5c5qqHcb,JRooxrMMM5c5qqHcb,2484,Lantenhammer Obstbrand (0.7l),18023,Fl,fl,Fl,,0.7l,0.7
"Lantenhammer Roter Willi Brand (0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0730_KpiEui9APzuZZixiE-small.jpeg,tarGvQSFjpE8jALrM,tarGvQSFjpE8jALrM,2485,"Lantenhammer Roter Willi Brand     (0,5l)",18089,Fl,fl,Fl,,"0,5l",0.5
Lantenhammer Sauerkirschbrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0719_wbGtxjbcWBNyD67pj-small.jpg,5PyKgRjFfBi2NziCJ,5PyKgRjFfBi2NziCJ,2486,Lantenhammer Sauerkirschbrand (0.5l),18073,Fl,fl,Fl,,0.5l,0.5
Lantenhammer Schlehengeist (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0719_QepCc4k94k8MEMowa-small.jpg,QDNmK7SH75QvHXF3L,QDNmK7SH75QvHXF3L,2487,Lantenhammer Schlehengeist (0.5l),18075,Fl,fl,Fl,,0.5l,0.5
Lantenhammer Waldhimbeergeist (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0739_9j6E5wvxat6ovD22b-small.jpeg,2AQi5jNxxMriK9b5k,2AQi5jNxxMriK9b5k,2488,Lantenhammer Waldhimbeergeist (0.5l),18024,Fl,fl,Fl,Vorbesteller | Vorbesteller,0.5l,0.5
Lantenhammer Wildkirschbrand (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0720_yXWB9ixyFsSzNvSQg-small.jpg,FLcrybL8yHeYTXwmi,FLcrybL8yHeYTXwmi,2490,Lantenhammer Wildkirschbrand (0.5l),18025,Fl,fl,Fl,,0.5l,0.5
Lantenhammer Williamsbirne (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0720_fmFqxFYDAzhsBGStD-small.jpg,4fnwd2hQgeYTKJxiq,4fnwd2hQgeYTKJxiq,2491,Lantenhammer Williamsbirne (0.5l),18026,Fl,fl,Fl,,0.5l,0.5
"Markus Meier - Grappa (0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1018_EgXYfjzjC7ntYyxk6-small.jpeg,XaGwSzJQT9xWPa98r,XaGwSzJQT9xWPa98r,2760,"Markus Meier - Grappa (0,5l)",19078,Fl,fl,Fl,,"0,5l",0.5
"Markus Meier - Haselnuss (0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1018_jBLqPJicDW4mGxW6w-small.jpeg,EPXdQ9bzpt8fqHxwM,EPXdQ9bzpt8fqHxwM,2762,"Markus Meier - Haselnuss (0,5l)",19079,Fl,fl,Fl,,"0,5l",0.5
