Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Delaforce Fine Ruby Port (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0745_Q5GhRxKNc6AF4HaSP-small.jpg,,,,,,,,,,,
Delaforce Fine White Port (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0727_7doj2MSy3LAzTarWn-small.jpeg,,,,,,,,,,,
Dry Sack Medium (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0728_iWS5Nip7hMzh2GHir-small.jpeg,BusXNFFXzk7rdyNkH,BusXNFFXzk7rdyNkH,1290,Dry Sack Medium (0.75l),20024,Fl,fl,Fl,,0.75l,0.75
Graham's Fine Ruby Port (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0728_D3eeXkmAqcmJRLYun-small.jpeg,kEBZMWCqKyhje7AXG,kEBZMWCqKyhje7AXG,1856,Graham's Fine Ruby Port (0.75l),20011,Fl,fl,Fl,,0.75l,0.75
Graham's Fine Tawny Port (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0728_hmLK4hvXhquc78A5f-small.jpeg,km8nm8Y7bf9KLw2kg,km8nm8Y7bf9KLw2kg,1857,Graham's Fine Tawny Port (0.75l),20012,Fl,fl,Fl,,0.75l,0.75
Gran Cucina Marsala Fine (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0729_zaMFxG5kBR5of9gpn-small.jpeg,EGbNtRuCfXFhPbYTi,EGbNtRuCfXFhPbYTi,1861,Gran Cucina Marsala Fine (0.75l),20020,Fl,fl,Fl,,0.75l,0.75
Justino's Madeira Fine Rich Sweet (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0729_putMBfhc85bJAaKBx-small.jpeg,yv7AGxBW6uoy7Wne2,yv7AGxBW6uoy7Wne2,2298,Justino's Madeira Fine Rich Sweet (0.75l),20022,Fl,fl,Fl,,0.75l,0.75
Osborne Fino Sherry (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0729_vyXWAekot8rJCXnPf-small.jpeg,QwEbtciPPNLX5Wr6b,QwEbtciPPNLX5Wr6b,3372,Osborne Fino Sherry (0.75l),20023,Fl,fl,Fl,,0.75l,0.75
Royal Oporto Tawny Port (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0730_cdTcCRRxoiNrgAnBv-small.jpeg,zCHPoa3Fm59E3k5vZ,zCHPoa3Fm59E3k5vZ,3876,Royal Oporto Tawny Port (0.75l),20001,Fl,fl,Fl,,0.75l,0.75
Royal Oporto White Port (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0730_uz7Ksb63Ln3SRCirE-small.jpeg,Fa9vEwCZE6a4XgGh9,Fa9vEwCZE6a4XgGh9,3877,Royal Oporto White Port (0.75l),20002,Fl,fl,Fl,,0.75l,0.75
Sandeman Fine Tawny Port (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0730_a5T3J2JXY2Q7xAwXz-small.jpeg,zyMiYhjBo2yHPoJzB,zyMiYhjBo2yHPoJzB,3927,Sandeman Fine Tawny Port (0.75l),20005,Fl,fl,Fl,,0.75l,0.75
Sandeman Fine White Port (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0730_7aqA8kbDHs5inpgnx-small.jpeg,42rzLu3NZAKrAJsno,42rzLu3NZAKrAJsno,3928,Sandeman Fine White Port (0.75l),20006,Fl,fl,Fl,,0.75l,0.75
Sandeman Fino Dry Sherry (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0731_qNbxYQeGkn57HgbXh-small.jpeg,wik87p3ay9GqXfZyQ,wik87p3ay9GqXfZyQ,3929,Sandeman Fino Dry Sherry (0.75l),20007,Fl,fl,Fl,,0.75l,0.75
Sandeman Medium Dry Sherry (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0731_6KS8MdyY3EnY7dF8L-small.jpeg,dgMrhp9Ew93zsbavG,dgMrhp9Ew93zsbavG,3930,Sandeman Medium Dry Sherry (0.75l),20008,Fl,fl,Fl,,0.75l,0.75
Sandeman Medium Sweet Sherry (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-1210_7sAu9eH84uzTqM8FP-small.jpg,YXEhRZJTuWJfLG9wH,YXEhRZJTuWJfLG9wH,3931,Sandeman Medium Sweet Sherry (0.75l),20009,Fl,fl,Fl,,0.75l,0.75
Taylor's Port 10years (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0731_WejbGCiHzxZ4tDrmx-small.jpeg,WrRNPht7YzP6d5x7D,WrRNPht7YzP6d5x7D,4301,Taylor's Port 10years (0.75l),20016,Fl,fl,Fl,,0.75l,0.75
Taylor's Port 20years (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230510-0732_LbDpxMTMaDHsZPtxe-small.jpeg,LfxEMYKPtjRyCvffa,LfxEMYKPtjRyCvffa,4302,Taylor's Port 20years (0.75l),20017,Fl,fl,Fl,,0.75l,0.75
