Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"Beylerbeyi Raki Göbek (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1815_XkuDpSoz6a5EXxeYc-small.jpeg,Ztju5t8M6i5JdiFHw,Ztju5t8M6i5JdiFHw,483,"Beylerbeyi Raki Göbek              (0,7l)",1033,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
"Efe Fresh Grape Raki (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1816_nAJpLhwfFbb8tNW2K-small.jpeg,7wMcmbP3SJmDC7Jxt,7wMcmbP3SJmDC7Jxt,1311,"Efe Fresh Grape Raki (0,7l)",1030,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
"Efe Göbek Raki (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1817_PDQATuy3QQeACS7k2-small.jpeg,nzEauyEECBKjkvDhP,nzEauyEECBKjkvDhP,1312,"Efe Göbek Raki                     (0,7l)",1029,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
"Efe Oak Barrel (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1817_RmFkSgzCMjLvP8aqL-small.jpeg,YvuiBhLq7rXrspyLm,YvuiBhLq7rXrspyLm,1313,"Efe Oak Barrel                     (0,7l)",1036,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
"Mercan Raki Göbek (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1817_wQ9HN9WhNf3sczN94-small.jpeg,yQgPiXcR5gHSNCS8t,yQgPiXcR5gHSNCS8t,2870,"Mercan Raki Göbek                  (0,7l)",1027,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
"Prototip Raki (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1817_5ysaLwoNXGTZEYRqc-small.jpeg,EwEyptEpmWuehWYqr,EwEyptEpmWuehWYqr,3573,"Prototip Raki                      (0,7l)",1034,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
"Sari Zeybek 3 Mese (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1818_y8CTzbHXjCoCP9qRj-small.jpeg,65eQ6KJc7aMjrJZZj,65eQ6KJc7aMjrJZZj,3936,"Sari Zeybek 3 Mese                 (0,7l)",1028,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
"Tekirday Gold Series (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1818_GC73ptNksNMwpv8Yd-small.jpeg,vKgBy2eAxNmuXHrrQ,vKgBy2eAxNmuXHrrQ,4350,"Tekirday Gold Series (0,7l)",1032,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
Yeni Raki (0.35l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230609-0641_eH4rqa3XbC3K8RZjz-small.jpg,woxTFc4ERnszkDt3x,woxTFc4ERnszkDt3x,5085,Yeni Raki (0.35l),1010,Fl,fl,Fl,,0.35l,0.35
Yeni Raki (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230609-0641_w8QvBfxpx5Cu6E8DC-small.jpg,bPqk5jxHw7HrmEotv,bPqk5jxHw7HrmEotv,5086,Yeni Raki (0.7l),1011,Fl,fl,Fl,,0.7l,0.7
"Yeni Raki ALA (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1819_6QvF6r2AssnQw6Qpb-small.jpeg,TdRxi63cXDPbNNBsd,TdRxi63cXDPbNNBsd,5087,"Yeni Raki ALA                      (0,7l)",1031,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,7l",0.7
"Yeni Raki Giz (0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250102-1819_XqChGu2ptY3vxEfjs-small.jpeg,zegHpAjqfAoadrnSP,zegHpAjqfAoadrnSP,5088,"Yeni Raki Giz                      (0,5l)",1035,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,5l",0.5
