Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
A.H. Riise Non Plus Ultra Black (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1429_rdsjLJKzrGEqkcdYa-small.png,988Y2x5MWmhjuXnjD,988Y2x5MWmhjuXnjD,20,A.H. Riise Non Plus Ultra Black (0.7l),21107,Fl,fl,Fl,,0.7l,0.7
A.H. Riise Non Plus Ultra Sauternes (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1430_cuFAvGTKEG4BJmTeL-small.jpg,g4kH2AqXi69PrG8wm,g4kH2AqXi69PrG8wm,21,A.H. Riise Non Plus Ultra Sauternes (0.7l),21106,Fl,fl,Fl,,0.7l,0.7
A.H. Riise X.O. Ambre d'Or Reserve (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1430_BZZNY8PFNJzfmpY58-small.jpg,gEwkui9RNgBhPhN2v,gEwkui9RNgBhPhN2v,22,A.H. Riise X.O. Ambre d'Or Reserve (0.7l),21104,Fl,fl,Fl,,0.7l,0.7
A.H. Riise X.O. Reserve (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1430_q6MaKppdyNyDPjNhL-small.jpg,hu9Fm68tSkZa6LSz6,hu9Fm68tSkZa6LSz6,23,A.H. Riise X.O. Reserve (0.7l),21105,Fl,fl,Fl,,0.7l,0.7
"Angostura 1919 - 8 Jahre 40% (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230403-0711_cBqsMTddCSfPKiWJ3-small.jpg,57BJmryL55uqKF5zs,57BJmryL55uqKF5zs,188,"Angostura 1919 - 8 Jahre 40% (0,7l)",21166,Flasche,flasche-,Flasche,,"0,7l",0.7
Angostura Dark Rum 7years (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0803_Q8ePdhak9Ca4t2jwF-small.jpg,9xKFPr3vtoNADafyS,9xKFPr3vtoNADafyS,190,Angostura Dark Rum 7years (0.7l),21119,Fl,fl,Fl,,0.7l,0.7
Angostura Premium Reserva (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0808_p2DXgKZnKvFm2xka3-small.jpg,vGu45gkzDk9yFAbzK,vGu45gkzDk9yFAbzK,192,Angostura Premium Reserva (0.7l),21118,Fl,fl,Fl,,0.7l,0.7
"Antioqueno Aguardiente (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230417-1411_AYWJ7PiqaiXPHv8cr-small.jpg,6PrSnxC6TEtXcJ3SF,6PrSnxC6TEtXcJ3SF,206,"Antioqueno Aguardiente (0,7l)",21169,Flasche,flasche-,Flasche,,"0,7l",0.7
Appleton Estate 21years (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0841_WNt2HJDXbwj6udqvA-small.jpg,XBJvhav7R8EGc9xLg,XBJvhav7R8EGc9xLg,228,Appleton Estate 21years (0.7l),21072,Fl,fl,Fl,,0.7l,0.7
Appleton Estate Rare Blend 12years (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0840_mHioehjWiG3vhPQQY-small.jpg,yCw3S2CzBvYsGDu5W,yCw3S2CzBvYsGDu5W,229,Appleton Estate Rare Blend 12years (0.7l),21071,Fl,fl,Fl,,0.7l,0.7
