Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"Bayla Multivitamin (1,0l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250522-0748_8mznSCFQPBYzMQNhv-small.jpeg,3kG8HKcQDETQYfvsN,3kG8HKcQDETQYfvsN,419,"Bayla Multivitamin (1,0l)",22072,"Ki (6x 1,0l)",ki,"Ki (6x 1,0l)",,"1,0l",1.0
"Burkhardt Ananas (0,2l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230328-0722_vx7ibGMEmfSqWsdbv-small.jpg,wyq8YzNnY3mH33AQc,wyq8YzNnY3mH33AQc,683,"Burkhardt Ananas (0,2l)",22217,Kiste,kiste-,Kiste,,"0,2l",0.2
Burkhardt Ananas (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230512-1055_vEdk9dnm9nxvf4XHh-small.jpg,AGac3GAT43akES7vg,AGac3GAT43akES7vg,684,Burkhardt Ananas (1l),22166,Krt (6 Fl),krt,Krt (6 Fl),,1l,1
Burkhardt Ananas BiB (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230513-0953_pNPqqfGbYHhhac7gE-small.png,9QFzFw8bPrfYz7rY6,9QFzFw8bPrfYz7rY6,685,Burkhardt Ananas BiB (10l),22173,Krt,krt,Krt,Vorbesteller | Vorbesteller,10l,10
"Burkhardt Apfel klar (0,2l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230707-1236_u7efHiM8qCgvxzuDr-small.jpg,k8dJYyymaM7Cyrgry,k8dJYyymaM7Cyrgry,686,"Burkhardt Apfel klar (0,2l)",22223,Kiste,kiste,Kiste,,"0,2l",0.2
Burkhardt Apfel trüb (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230512-1056_a65wBw9JB2Ne2CaWd-small.jpg,vaGDPQ7xRSHn5Z3bh,vaGDPQ7xRSHn5Z3bh,687,Burkhardt Apfel trüb (1l),22161,Krt (6 Fl),krt,Krt (6 Fl),,1l,1
Burkhardt Apfelsaft klar (6x1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1656_pe4qm6PoLBsZmaYM4-small.jpeg,WChBeLG2XrJh4b3L4,WChBeLG2XrJh4b3L4,688,Burkhardt Apfelsaft klar (6x1l),22228,Ki,ki,Ki,,1l,1
Burkhardt Bag in Box Ananasgetränk (5l),,7uXSDoXpsnk386xFn,7uXSDoXpsnk386xFn,689,Burkhardt Bag in Box Ananasgetränk  (5l),22254,Bag in Box (5 Liter),bag-in-box,Bag in Box (5 Liter),,5l,5
Burkhardt Bag in Box Ananasgetränk (10l),,PmwJiC6LCDqBN7M7h,PmwJiC6LCDqBN7M7h,690,Burkhardt Bag in Box Ananasgetränk (10l),22253,Bag in Box (10 Liter),bag-in-box,Bag in Box (10 Liter),,10l,10
Burkhardt Bag in Box Orangengetränk (10l),,awLQ2YERS8mkXZ898,awLQ2YERS8mkXZ898,691,Burkhardt Bag in Box Orangengetränk (10l),22252,Bag in Box (10 Liter),bag-in-box,Bag in Box (10 Liter),,10l,10
