Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"AMABUKI Apollon (0,72l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250522-0830_BMNWj3whH89nq5PAD-small.jpeg,C7rBFRhf4g5q5xDLu,C7rBFRhf4g5q5xDLu,28,"AMABUKI Apollon                    (0,72l)",94014,Fl,fl,Fl,,"0,72l",0.72
"AMABUKI Kyoto Matcha Sake (0,72l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250522-0831_CNqCwqhFKTuDLrv8S-small.jpeg,dEDaZCmX7Dh4RNgwh,dEDaZCmX7Dh4RNgwh,29,"AMABUKI Kyoto Matcha Sake          (0,72l)",94013,Fl,fl,Fl,,"0,72l",0.72
"Hakusan Junmai Daiginjo Sake (0,72l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241104-1131_3NACAtHesmQZCnzMw-small.jpeg,9ZvH9qjm4h7yDNgZG,9ZvH9qjm4h7yDNgZG,2010,"Hakusan Junmai Daiginjo Sake       (0,72l)",94011,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,72l",0.72
"Jin Junmai Sake (0,3l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241104-1113_QsErGpZwNx6nSawzP-small.jpeg,g5DzELZPAAnF5dm64,g5DzELZPAAnF5dm64,2228,"Jin Junmai Sake  (0,3l)",94006,FL,fl,FL,Vorbesteller | Vorbesteller,"0,3l",0.3
"Jozen Minzuno Sparkling Sake (0,36l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241104-1118_iBbQz82T2jjRgPeug-small.jpeg,8mg39swpqAuHv4KmW,8mg39swpqAuHv4KmW,2295,"Jozen Minzuno Sparkling Sake       (0,36l)",94007,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,36l",0.36
"Kinmon Ryogoku Kesennuma Yuzu-Sake (0,72l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241104-1132_RbWvDWmGSNpgrQa4L-small.jpeg,bNvEAGA5pYzrJ2Cae,bNvEAGA5pYzrJ2Cae,2361,"Kinmon Ryogoku Kesennuma Yuzu-Sake (0,72l)",94012,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,72l",0.72
"Manzairaku Kaga Sparkling Umeshu (0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241104-1125_r8uzCwPpyajh8hc9m-small.jpeg,8XKFhFcgsQYwJPh2i,8XKFhFcgsQYwJPh2i,2700,"Manzairaku Kaga Sparkling Umeshu   (0,5l)",94009,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,5l",0.5
"NINKI Ichi-Yuzu (0,5l)",,iEFyc75QNMXYpE7em,iEFyc75QNMXYpE7em,3219,"NINKI Ichi-Yuzu                    (0,5l)",94015,Fl,fl,Fl,,"0,5l",0.5
"Nobu The Sake Junmai Daiginjo (0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241104-1121_ye6NB9KozQw5oiWBc-small.jpeg,NcKvGXzaSmNkApCdR,NcKvGXzaSmNkApCdR,3273,"Nobu The Sake Junmai Daiginjo (0,5l)",94008,Fl,fl,Fl,Vorbesteller | Vorbesteller,"0,5l",0.5
"Nohime No Sato Kakushi Ginjo Sake (0,72l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241104-1128_m6amAmqofhPygGPK9-small.jpeg,NpD6tjfEb4FPFBkeT,NpD6tjfEb4FPFBkeT,3275,"Nohime No Sato Kakushi Ginjo Sake (0,72l)",94010,FL,fl,FL,Vorbesteller | Vorbesteller,"0,72l",0.72
