Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"Aichberg Cuvee Weiß - Kornell (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240627-0710_2csChkgt6Mvaupq54-small.jpeg,rMZFHeR5Di6Stq4Jx,rMZFHeR5Di6Stq4Jx,136,"Aichberg Cuvee Weiß - Kornell          (0,75l)",46068,Fl,fl,Fl,,"0,75l",0.75
BECCO - Chardonnay BIO Mehrweg (6x1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250326-1639_rkJbAB7m6sQmQwbqh-small.jpeg,ePsAhYes3QzCTkWMd,ePsAhYes3QzCTkWMd,303,BECCO - Chardonnay BIO Mehrweg (6x1l),46072,Ki (6 Fl),ki,Ki (6 Fl),Vorbesteller | Vorbesteller,1l,1
BECCO - Merlot trocken BIO Mehrweg (6x1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250326-1642_jWeeyuuad3WrhPDJf-small.jpeg,jmHTPAkFyvZHJks2D,jmHTPAkFyvZHJks2D,304,BECCO - Merlot trocken BIO Mehrweg (6x1l),46073,Ki (6 Fl),ki,Ki (6 Fl),Vorbesteller | Vorbesteller,1l,1
BECCO - Pinot Grigio BIO Mehrweg (6x1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250326-1646_WumM3bxSAvR4mMPmE-small.jpeg,LoCstnWLGLkSuiANy,LoCstnWLGLkSuiANy,305,BECCO - Pinot Grigio BIO Mehrweg (6x1l),46075,Ki (6 Fl),ki,Ki (6 Fl),Vorbesteller | Vorbesteller,1l,1
BECCO - Rosato BIO Mehrweg,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250326-1645_KALk8HmAerstTnKwE-small.jpeg,SsQPnZZuEFDjJxTkz,SsQPnZZuEFDjJxTkz,306,BECCO - Rosato BIO Mehrweg,46074,Ki (6 Fl),ki,Ki (6 Fl),Vorbesteller | Vorbesteller,,
Bouvet - Crémant de Loire (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220825-0355_znfx9T6B8dJModF3X-small.jpg,fMKb6GudvTRjM3Xha,fMKb6GudvTRjM3Xha,643,Bouvet - Crémant de Loire (0.75l),29010,Fl,fl,Fl,,0.75l,0.75
Brönner & Heilmann - Bacchus feinfruchtig (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250508-1841_bbXhx4QY47bxhXjXo-small.jpeg,jM7rvdTdgmo2fvWZn,jM7rvdTdgmo2fvWZn,664,Brönner & Heilmann - Bacchus feinfruchtig (1l),30236,Fl,fl,Fl,,1l,1
Brönner & Heilmann - Cuvee rot feinfruchtig (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250508-1846_ymrXdACSFHuP2Nqiu-small.jpeg,kvTmNALQGWDvucpZg,kvTmNALQGWDvucpZg,665,Brönner & Heilmann - Cuvee rot feinfruchtig (1l),30278,Fl,fl,Fl,,1l,1
Brönner & Heilmann - Müller Thurgau trocken (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250508-1838_dfkDnmcbdN3XQ2ASX-small.jpeg,XQN7ouL4jDF62e9KH,XQN7ouL4jDF62e9KH,666,Brönner & Heilmann - Müller Thurgau trocken   (1l),30215,Fl,fl,Fl,,1l,1
Brönner & Heilmann - Rose trocken (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250508-1844_b3CQNBrHnHYDefSqE-small.jpeg,ft7iZz849MsKgyx9x,ft7iZz849MsKgyx9x,667,Brönner & Heilmann - Rose trocken (1l),30237,Fl,fl,Fl,,1l,1
Cantina Pasini - Lugana Spumante (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1614_8iHfdGJygnZhenBbt-small.jpeg,iTL2gcEQTGPmLJNHR,iTL2gcEQTGPmLJNHR,780,Cantina Pasini - Lugana Spumante (0.75l),28046,Fl,fl,Fl,,0.75l,0.75
Casa Gheller - Bianco Frizzante IGT (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2037_WiTnz3Bx6wiZHqRkq-small.jpg,rWA5aQz4eXEGJMHa8,rWA5aQz4eXEGJMHa8,832,Casa Gheller - Bianco Frizzante IGT (0.75l),28020,Fl,fl,Fl,,0.75l,0.75
Casa Gheller - Cuvée Brut Rosé (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1024_tt7Zqt6Sd897ojCAt-small.png,5BxaanG5ZzTWADAm4,5BxaanG5ZzTWADAm4,833,Casa Gheller - Cuvée Brut Rosé (0.75l),28023,Fl,fl,Fl,,0.75l,0.75
Casa Gheller - Cuvée Brut Spumante (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1024_RMYEDuhwGbpNBCahF-small.jpg,yf4wDawiZXymSR3bo,yf4wDawiZXymSR3bo,834,Casa Gheller - Cuvée Brut Spumante (0.75l),28022,Fl,fl,Fl,,0.75l,0.75
Casa Gheller - Prosecco Frizzante (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1024_rmpyESdxQwS5AzK7n-small.jpg,NP9e6coEsFP84Q9o6,NP9e6coEsFP84Q9o6,835,Casa Gheller - Prosecco Frizzante (0.75l),28102,Fl,fl,Fl,,0.75l,0.75
Casa Gheller - Prosecco Spumante (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1025_ysKaD7JJMaBqaFLuS-small.png,BT7m593SQGcRpB8me,BT7m593SQGcRpB8me,836,Casa Gheller - Prosecco Spumante (0.75l),28021,Fl,fl,Fl,,0.75l,0.75
Castell - Fraenzi Secco (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2114_3k8eSAZNzx4eLekRL-small.png,9eNes4Yv8EmQANFbK,9eNes4Yv8EmQANFbK,854,Castell - Fraenzi Secco (0.75l),27009,Fl,fl,Fl,,0.75l,0.75
Castell - Fraenzi Secco Rosé (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2114_EYTuihrFDztxrMSoy-small.png,a7xqaJQM7NiKza9EZ,a7xqaJQM7NiKza9EZ,855,Castell - Fraenzi Secco Rosé (0.75l),27010,Fl,fl,Fl,,0.75l,0.75
Castell - Schloss Castell brut (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2114_FNW8bnyScCkSfRHbw-small.jpg,NBy4wid6cxftLTMaf,NBy4wid6cxftLTMaf,858,Castell - Schloss Castell brut (0.75l),27007,Fl,fl,Fl,,0.75l,0.75
Chandon Garden Spritz (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220829-1438_JGtkKgBQef8JS6s7Z-small.jpg,,,,,,,,,,,
Château Martinolles - Crémant de Limoux AOP(0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230512-0739_oQQR9exY34PLYH5x4-small.jpeg,,,,,,,,,,,
"Château Martinolles - Eglise St Martin AOP Blanquette de Limoux Brut (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1024_vGCuJCAPwimBNzXv9-small.jpeg,,,,,,,,,,,
Cinzano - Asti (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230512-0739_MTznRf84q2qaLQXHg-small.jpeg,,,,,,,,,,,
Cinzano - Asti (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2121_ndh6M5H5E4Rd3Wct7-small.png,,,,,,,,,,,
Colli Vicentini - Rosé Frizzante (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0343_E3wJEdf7Mddioec8P-small.png,,,,,,,,,,,
"Copenhagen ""Gron Organic"" Sparkling Tea (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230512-0741_9BLjcZAn3tS7t9K6Z-small.jpeg,,,,,,,,,,,
"Copenhagen ""Bla"" Sparkling Tea (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221130-1637_xHCr2c6WdZ3Z8ASKy-small.png,,,,,,,,,,,
