Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
1883 Mojito Mint Sirup (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1034_pMpCzBn6pj9EmwGyB-small.jpeg,TYAi7o8N7nr945mWc,TYAi7o8N7nr945mWc,1,1883 Mojito Mint Sirup (1l),223296,Fl,fl,Fl,,1l,1
Bols Cranberry (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-0925_x7WFuQBXNSQCotwn4-small.jpg,rDyALCuhZBBkz6T6L,rDyALCuhZBBkz6T6L,599,Bols Cranberry (0.75l),23040,Fl,fl,Fl,,0.75l,0.75
Bols Grenadine (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1046_vC7cxyCG6bjTrii9A-small.jpg,BbzkkL8hWAkstJiKc,BbzkkL8hWAkstJiKc,601,Bols Grenadine (0.75l),23039,Fl,fl,Fl,,0.75l,0.75
Burkhardt Sirup Blue Curacao BiB (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231207-1400_iEEKR38qEHiyH7mxD-small.jpeg,b8qLf5FNbWA9H4RTy,b8qLf5FNbWA9H4RTy,719,Burkhardt Sirup Blue Curacao BiB (5l),23227,Krt,krt,Krt,Vorbesteller | Vorbesteller,5l,5
Burkhardt Sirup Cocos BiB (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-1425_F4AgETGKofrsXhJrG-small.jpeg,SEoiKhqntS5sCMumn,SEoiKhqntS5sCMumn,720,Burkhardt Sirup Cocos BiB (5l),23228,Krt,krt,Krt,Vorbesteller | Vorbesteller,5l,5
Burkhardt Sirup Erdbeere BIB (5l),,RTY6zYynFh88wXC8p,RTY6zYynFh88wXC8p,721,Burkhardt Sirup Erdbeere BIB       (5l),23311,Bib (5 l),bib,Bib (5 l),,5l,5
Burkhardt Sirup Grenadine BiB (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-1426_2NjqCkTcsSB7M7QBr-small.jpeg,tQsTcBKTqqiEjHyjy,tQsTcBKTqqiEjHyjy,722,Burkhardt Sirup Grenadine BiB (5l),23226,Krt,krt,Krt,Vorbesteller | Vorbesteller,5l,5
Burkhardt Sirup Lime Juice BIB,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-1426_8ctSJRQe48eT3WdWK-small.jpeg,pcPa53EDfzZ5Qye2v,pcPa53EDfzZ5Qye2v,723,Burkhardt Sirup Lime Juice BIB,23295,Karton,karton,Karton,Vorbesteller | Vorbesteller,,
Burkhardt Sirup Mandel BIB (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-1014_kQ8hmfcBhkN4iaHQK-small.jpeg,dr6h3gX5wu2ijyFXX,dr6h3gX5wu2ijyFXX,724,Burkhardt Sirup Mandel BIB (5l),23290,Karton,karton,Karton,Vorbesteller | Vorbesteller,5l,5
Burkhardt Sirup Mango BiB (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-1014_sDNnZGAug52PLZnB5-small.jpeg,yke7isLYEPGANyKE6,yke7isLYEPGANyKE6,725,Burkhardt Sirup Mango BiB (5l),23225,Krt,krt,Krt,Vorbesteller | Vorbesteller,5l,5
Burkhardt Sirup Maracuja BiB (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240523-1024_sbtYihKv85dmQktoY-small.jpeg,yfBSbXmb5YPJ9CiGb,yfBSbXmb5YPJ9CiGb,726,Burkhardt Sirup Maracuja BiB       (5l),22244,BiB,bib,BiB,Vorbesteller | Vorbesteller,5l,5
Burkhardt Sirup Pfirsich BIB (5l),,Jd5B48gbfvtiFcsSB,Jd5B48gbfvtiFcsSB,727,Burkhardt Sirup Pfirsich  BIB      (5l),23310,bib (5 L),bib,bib (5 L),,5l,5
Burkhardt Sirup Zitronensaft BIB (5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-1527_YoFwEtNmYsgFQDh9Q-small.jpeg,wrDbieSDDL5RZLCGj,wrDbieSDDL5RZLCGj,728,Burkhardt Sirup Zitronensaft BIB (5l),23294,Karton,karton,Karton,,5l,5
Desmond's Lemon Squash (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230124-0540_XjBKCJsfB3ARDRq24-small.jpg,,,,,,,,,,,
Desmond's Lime Juice (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1108_ExH7GYT4KhuBXrqaw-small.jpg,,,,,,,,,,,
Erdbeere Hausmarke (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231208-1535_TS3dnua6ZRJ4bGWds-small.jpeg,pf6LPEoez7Gsh73Bi,pf6LPEoez7Gsh73Bi,1370,Erdbeere Hausmarke (1l),23038,Fl,fl,Fl,,1l,1
"Giffard Agave (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0842_NcDK7AMZ3nbsfuPPX-small.jpeg,kQSectzkMsRQyuQo8,kQSectzkMsRQyuQo8,1716,"Giffard Agave (0,7l)",16210,Flasche,flasche,Flasche,,"0,7l",0.7
Giffard Fruit for Mix Rasberry (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250117-1430_67Giegw8rjJGWuYET-small.jpeg,2xfmtTnzx8cYerFNs,2xfmtTnzx8cYerFNs,1722,Giffard Fruit for Mix Rasberry     (1l),23241,Fl,fl,Fl,,1l,1
"Giffard Melone (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221227-1530_Cnm3umyHxSqhgroNb-small.jpg,moLWMogJEvvm9hq57,moLWMogJEvvm9hq57,1724,"Giffard Melone (0,7l)",23239,Flasche,flasche-,Flasche,,"0,7l",0.7
Giffard Sirup Ananas (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230807-1125_4D9CJdEkkLsoJe7od-small.jpeg,fcYxBqRE23vNXCG2F,fcYxBqRE23vNXCG2F,1726,Giffard Sirup Ananas (1l),23166,Fl,fl,Fl,,1l,1
Giffard Sirup Banane (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221228-0643_kghbPPTSmsYLncJqv-small.jpg,bWNTZb6gfn5APFGpR,bWNTZb6gfn5APFGpR,1727,Giffard Sirup Banane (1l),23167,Fl,fl,Fl,,1l,1
Giffard Sirup Basilikum (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2032_DxTr8viRuSAtxD2bT-small.jpg,ZBjhj4t4QNqYeaTiD,ZBjhj4t4QNqYeaTiD,1728,Giffard Sirup Basilikum (1l),23168,Fl,fl,Fl,,1l,1
Giffard Sirup Birne (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2042_GuszYPSyuHojLNgRC-small.jpg,revPhsFZgutDSgSyw,revPhsFZgutDSgSyw,1729,Giffard Sirup Birne (1l),23207,Fl,fl,Fl,,1l,1
Giffard Sirup Brombeere (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230108-1736_bpe3sNpjZeshQkxxP-small.png,Wff3wvDLfLjqSseT7,Wff3wvDLfLjqSseT7,1730,Giffard Sirup Brombeere (1l),23196,Fl,fl,Fl,,1l,1
Giffard Sirup Caramel (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2042_5EiH99ks2n4RPGYvQ-small.jpg,9CQN8MHWtgJ9Dd2Lz,9CQN8MHWtgJ9Dd2Lz,1731,Giffard Sirup Caramel (1l),23169,Fl,fl,Fl,,1l,1
Giffard Sirup Chocolate Braun (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-1228_2ypFLFL7YuG3ehMmG-small.jpg,Za9AMWo4dqXNNXGpt,Za9AMWo4dqXNNXGpt,1732,Giffard Sirup Chocolate Braun (1l),23170,Fl,fl,Fl,,1l,1
Giffard Sirup Chocolate Weiß (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2043_zzEQLjiyrQ9hzBtiE-small.jpg,DtgKoTDzmezduixWm,DtgKoTDzmezduixWm,1733,Giffard Sirup Chocolate Weiß (1l),23214,Fl,fl,Fl,,1l,1
Giffard Sirup Cranberry (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2119_hZuAzTNSE6TqkESzC-small.jpg,cFHY3xPxZtwJTEuiD,cFHY3xPxZtwJTEuiD,1734,Giffard Sirup Cranberry (1l),23171,Fl,fl,Fl,,1l,1
Giffard Sirup Curacao Blau (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221215-1651_4eQTgySe8dXtB4xQn-small.jpg,A5Htgv4vf9fZtvFEN,A5Htgv4vf9fZtvFEN,1735,Giffard Sirup Curacao Blau (1l),23172,Fl,fl,Fl,,1l,1
Giffard Sirup Egg White (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1204_isEdtYCEA2jLg6E4L-small.jpg,BZpjH46ADbFuvtBiv,BZpjH46ADbFuvtBiv,1736,Giffard Sirup Egg White (0.7l),23173,Fl,fl,Fl,,0.7l,0.7
Giffard Sirup Erdbeer (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2043_8AbcSzs75msYErqMF-small.jpg,224AnJ5h3qrAN5rZw,224AnJ5h3qrAN5rZw,1737,Giffard Sirup Erdbeer (1l),23174,Fl,fl,Fl,,1l,1
Giffard Sirup Granatapfel (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-1228_QeKEZQQ8siQK2RndB-small.jpg,3QrpbJEd7YSauansa,3QrpbJEd7YSauansa,1738,Giffard Sirup Granatapfel (1l),23175,Fl,fl,Fl,,1l,1
Giffard Sirup Grenadine (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221107-1012_qMs6qqXHjCzDTvtRe-small.jpg,f7nA2sh2rZTuvPpkM,f7nA2sh2rZTuvPpkM,1739,Giffard Sirup Grenadine (1l),23176,Fl,fl,Fl,,1l,1
Giffard Sirup Grüner Apfel (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2045_SCEeisF7raE7B2v7E-small.jpg,ACFsR6k9ps67RS4ei,ACFsR6k9ps67RS4ei,1740,Giffard Sirup Grüner Apfel (1l),23177,Fl,fl,Fl,,1l,1
Giffard Sirup Gurke (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-1228_5knqdtN5NaujF29KH-small.jpg,KZDBxRgWP9JvvY8tR,KZDBxRgWP9JvvY8tR,1741,Giffard Sirup Gurke (1l),23178,Fl,fl,Fl,,1l,1
Giffard Sirup Haselnuss Noisette (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-1229_GLuuuntieuBNeC7NB-small.jpg,4v6GfJFtXXYyokjwH,4v6GfJFtXXYyokjwH,1742,Giffard Sirup Haselnuss Noisette (1l),23179,Fl,fl,Fl,,1l,1
Giffard Sirup Heidelbeere (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2105_5Gw3Ec9GYm232CQrg-small.jpg,KuPMaX6fMbha6xm8X,KuPMaX6fMbha6xm8X,1743,Giffard Sirup Heidelbeere (1l),23218,Fl,fl,Fl,,1l,1
Giffard Sirup Hibiskus (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2045_855htcCdma8AczFqC-small.jpg,GeE2QwZMPg8LBLngQ,GeE2QwZMPg8LBLngQ,1744,Giffard Sirup Hibiskus (1l),23236,Fl,fl,Fl,,1l,1
Giffard Sirup Himbeer (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2046_3nLfhLET4Wb2rX46W-small.jpg,4sM2GTQThbXYrur8j,4sM2GTQThbXYrur8j,1745,Giffard Sirup Himbeer (1l),23180,Fl,fl,Fl,,1l,1
