Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Casamigos Anejo (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1025_KJCgxiqsLWG6df44y-small.jpg,M9ZBiqFhqJvLB3Ty4,M9ZBiqFhqJvLB3Ty4,838,Casamigos Anejo (0.7l),24045,Fl,fl,Fl,,0.7l,0.7
Casamigos Blanco (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1026_nKpHCa5Qy8jXahCat-small.jpg,MXv7AqeL3TJgH4PrN,MXv7AqeL3TJgH4PrN,839,Casamigos Blanco (0.7l),24044,Fl,fl,Fl,,0.7l,0.7
Casamigos Mezcal (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1026_g3ZmNHf7ha9D6cTfr-small.jpg,Y84FmYz6ECbrnAWMq,Y84FmYz6ECbrnAWMq,840,Casamigos Mezcal (0.7l),24047,Fl,fl,Fl,,0.7l,0.7
Casamigos Reposado (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1027_KWtwA7AZRwYqjH2NA-small.jpg,WYgSzYW3vxr4A8JBL,WYgSzYW3vxr4A8JBL,841,Casamigos Reposado (0.7l),24046,Fl,fl,Fl,,0.7l,0.7
Cazadores Blanco (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220829-1437_YamPi8M9XEKKbtmAT-small.jpg,,,,,,,,,,,
Cazadores Reposado (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220829-1437_neA6XnCmCqvFcusME-small.jpg,,,,,,,,,,,
"Clase Azul Anjeo (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1438_a8qnjQZnNk3s6cRoy-small.jpeg,,,,,,,,,,,
"Clase Azul Gold (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1439_PyydMXJQhEr5oWte2-small.jpeg,,,,,,,,,,,
"Clase Azul Mezcal Durango (0,7lL",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1439_eFaR2ipj4EzcMtnJP-small.jpeg,,,,,,,,,,,
"Clase Azul Mezcal Guerrero (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1439_3PpNrHMmwi2ANJXwW-small.jpeg,,,,,,,,,,,
"Clase Azul Mezcal San Luis Potosí (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1439_JwX9oaECdmceTqaRp-small.jpeg,,,,,,,,,,,
"Clase Azul Plata (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1439_gSPcHfuRYF56xmQrz-small.jpeg,,,,,,,,,,,
"Clase Azul Reposado (0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1439_BRRS4xwXaYEmGKZt4-small.jpeg,,,,,,,,,,,
"Clase Azul Reposado (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1440_ShPokWeqFDkGYiRko-small.jpeg,,,,,,,,,,,
"Clase Azul Reposado (1,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1440_qKszQ9rsZ4QPoEdqd-small.jpeg,,,,,,,,,,,
"Clase Azul Ultra Anejo (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250214-1440_pwXQCkGmFCDr22nb3-small.jpeg,,,,,,,,,,,
Don Julio 1942 (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231207-0926_HLFFsYjfutXCez3xQ-small.jpeg,jdcsgndSgQ78zYXJX,jdcsgndSgQ78zYXJX,1265,Don Julio 1942 (0.7l),24057,Fl,fl,Fl,,0.7l,0.7
Don Julio Anejo (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231207-0926_xeTZRFgvn3mRCfTnf-small.jpeg,Yia6BZ4CCf5gCjw5F,Yia6BZ4CCf5gCjw5F,1266,Don Julio Anejo (0.7l),24015,Fl,fl,Fl,,0.7l,0.7
