Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
42 Below Vodka (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250117-1419_fXSGLZ5L5dvkncvsB-small.jpeg,W8jYHCHwrbkfCxfqQ,W8jYHCHwrbkfCxfqQ,7,42 Below Vodka  (1l),25126,Fl,fl,Fl,,1l,1
9 Mile Vodka (9l),,HziJLs7CNr83MzCRf,HziJLs7CNr83MzCRf,11,9 Mile Vodka                       (9l),25110,Fl,fl,Fl,vorbesteller | vorbesteller,9l,9
9 Mile Vodka & Energy Dose (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1434_vWRTzbEwGQNmjaKYc-small.jpg,q8NnMEy6vMxE74Fkr,q8NnMEy6vMxE74Fkr,12,9 Mile Vodka & Energy Dose (0.33l),25103,Ki (12 Fl),ki,Ki (12 Fl),vorbesteller | vorbesteller,0.33l,0.33
9 Mile Vodka (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1434_XjrqjFNzWWzf6z7zh-small.jpg,MpXK4Nt7HCxjsxNmK,MpXK4Nt7HCxjsxNmK,13,9 Mile Vodka (0.5l),25094,Fl,fl,Fl,9mile | 9mile,0.5l,0.5
9 Mile Vodka (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1434_WspkRgngkBg3YEGbG-small.jpg,CMrYYKJcSevsh5yRn,CMrYYKJcSevsh5yRn,14,9 Mile Vodka (0.7l),25081,Fl,fl,Fl,9mile | 9mile,0.7l,0.7
9 Mile Vodka (1.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1435_oREJkoqZoDPcsBBF2-small.jpg,zR3JQAay6NgEEYMai,zR3JQAay6NgEEYMai,15,9 Mile Vodka (1.75l),25104,Fl,fl,Fl,9mile | 9mile,1.75l,1.75
9 Mile Vodka (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1427_AfFTcuayfHbR8q3fa-small.jpg,JKi3wHdGFHY6qde4T,JKi3wHdGFHY6qde4T,16,9 Mile Vodka (1l),25082,Fl,fl,Fl,,1l,1
9 Mile Vodka (3l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1428_4RyomEfPihvunJcsw-small.jpg,ZAQhY22YGaFaQa5RA,ZAQhY22YGaFaQa5RA,17,9 Mile Vodka (3l),25093,Fl,fl,Fl,,3l,3
9 Mile Vodka (6l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231221-0826_5WEm85sELoSMgYhzx-small.jpeg,zmEor52MGswMMFLds,zmEor52MGswMMFLds,18,9 Mile Vodka (6l),25137,Karton,karton,Karton,,6l,6
"Absolut Sensation's (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230828-0853_DRZLRHxdX9c5d4f6z-small.jpeg,2ZgATAjJHC2LF5yBt,2ZgATAjJHC2LF5yBt,38,"Absolut Sensation's (0,7l)",25136,Flasche,flasche,Flasche,,"0,7l",0.7
"Absolut Vodka (12x0,05l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1038_g8RTppDxsPSrcHxzj-small.jpeg,EgboCKjBN3CgY9WJh,EgboCKjBN3CgY9WJh,39,"Absolut Vodka  (12x0,05l)",25138,Ki,ki,Ki,,"0,05l",0.05
"Absolut Vodka & Sprite Dose (12x0,25l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240506-1657_ePRXpJu6DF2iwABna-small.jpeg,B6Tx2mgZAKZtxiPXz,B6Tx2mgZAKZtxiPXz,40,"Absolut Vodka & Sprite Dose        (12x0,25l)",25140,Tray,tray,Tray,,"0,25l",0.25
"Absolut Vodka & Sprite Dose Zero (12x0,25l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240506-1659_MLzWYRFWA8GZk4ic9-small.jpeg,oB8QnyLH67og9C45k,oB8QnyLH67og9C45k,44,"Absolut Vodka & Sprite Dose Zero (12x0,25l)",25141,Tray,tray,Tray,Vorbesteller | Vorbesteller,"0,25l",0.25
Absolut Vodka (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1431_7eRik2PXbSqWHyRqB-small.png,h2Lcj89xNkTxvdH2u,h2Lcj89xNkTxvdH2u,45,Absolut Vodka (0.5l),25010,Fl,fl,Fl,,0.5l,0.5
