Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
AKUA wild (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1423_Rwcs94eWtwPWifmPd-small.jpeg,XNXzvYPXBnA37wCy9,XNXzvYPXBnA37wCy9,26,AKUA wild (0.75l),9219,Ki (12 Fl),ki,Ki (12 Fl),,0.75l,0.75
AKUA zahm (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1424_gBCkYELswB9tiLavq-small.jpeg,zGch3rbXZfDkZwfbE,zGch3rbXZfDkZwfbE,27,AKUA zahm (0.75l),9221,Ki (12 Fl),ki,Ki (12 Fl),,0.75l,0.75
ARO Wasser Classic PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-1110_BwL6PgijwkZFz54ic-small.jpg,3AnpFzSisfnSzHNLy,3AnpFzSisfnSzHNLy,31,ARO Wasser Classic PET (0.5l),9283,Krt (6 Fl),krt,Krt (6 Fl),,0.5l,0.5
ARO Wasser Medium PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-1117_EMrpyMMLo8tXgXrFx-small.png,bwMb8eh5Tdepvy4w5,bwMb8eh5Tdepvy4w5,32,ARO Wasser Medium PET (0.5l),9241,Krt (6 Fl),krt,Krt (6 Fl),,0.5l,0.5
ARO Wasser Naturell PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-1113_TLSPJL5CPbLZQ4M36-small.png,faZX32A9pLzXZ293S,faZX32A9pLzXZ293S,33,ARO Wasser Naturell PET (0.5l),9242,Krt (6 Fl),krt,Krt (6 Fl),,0.5l,0.5
Acqua Morelli Frizzante (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220603-1454_BnvJDDnGzYpJXyANm-small.jpg,XqbsN3CYE83knRY5g,XqbsN3CYE83knRY5g,61,Acqua Morelli Frizzante (0.25l),9001,Ki (24 Fl),ki,Ki (24 Fl),,0.25l,0.25
Acqua Morelli Frizzante (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220603-1454_g8pRecn3FFcZmNHD9-small.jpg,XH7ifvGFQJHMJWKec,XH7ifvGFQJHMJWKec,62,Acqua Morelli Frizzante (0.75l),9002,Ki (12 Fl),ki,Ki (12 Fl),,0.75l,0.75
"Acqua Morelli Frizzante PET KISTEN (24x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_241206-1118_YhN9DsJi5bXbY6kkc-small.jpeg,NNouTtog8KauSxDJn,NNouTtog8KauSxDJn,63,"Acqua Morelli Frizzante PET   KISTEN (24x0,5l)",9306,Ki,ki,Ki,,"0,5l",0.5
Acqua Morelli Non Frizzante (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220610-1709_nYBugxHadpQHD2eXG-small.jpg,ytWmRFMdueGvkyFcG,ytWmRFMdueGvkyFcG,64,Acqua Morelli Non Frizzante (0.25l),9003,Ki (24 Fl),ki,Ki (24 Fl),,0.25l,0.25
Acqua Morelli Non Frizzante (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220610-1712_FDEPALBozdtoqyYTQ-small.jpg,CooT4xTMktxQcgk7S,CooT4xTMktxQcgk7S,65,Acqua Morelli Non Frizzante (0.75l),9004,Ki (12 Fl),ki,Ki (12 Fl),,0.75l,0.75
"Acqua Morelli Non Frizzante PET KISTEN (24x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250107-0810_7Q9QoW9Qg3C3BYJhQ-small.jpeg,kv7PNLTTpxPvJncuS,kv7PNLTTpxPvJncuS,66,"Acqua Morelli Non Frizzante PET    KISTEN (24x0,5l)",9307,Ki,ki,Ki,,"0,5l",0.5
Acqua Panna (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221003-1824_MJEz83tPHzKqPuAZ3-small.jpg,2sxnjyvMX5txYnYF8,2sxnjyvMX5txYnYF8,67,Acqua Panna (0.25l),9055,Ki (24 Fl),ki,Ki (24 Fl),,0.25l,0.25
Acqua Panna (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221003-1824_AhMHDGGbSjES54PBh-small.jpg,CC3xTv9tpXdG9jtKA,CC3xTv9tpXdG9jtKA,68,Acqua Panna (0.5l),9245,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
Acqua Panna (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221003-1824_WwweTgq6gknwnA4eY-small.jpg,juHSDXhwCDva948jD,juHSDXhwCDva948jD,69,Acqua Panna (0.75l),9056,Ki (18 Fl),ki,Ki (18 Fl),,0.75l,0.75
Acqua Panna (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221003-1826_chsbZ7kYuKZrw7fMN-small.jpg,MSm2pThsCodTzpxsh,MSm2pThsCodTzpxsh,70,Acqua Panna (1l),9230,Ki (12 Fl),ki,Ki (12 Fl),,1l,1
Active Fresh Orange Apple (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1512_XYcqLuJdzyzyZQj2L-small.jpg,TkKBh96Fa2P4kLuNp,TkKBh96Fa2P4kLuNp,72,Active Fresh Orange Apple (0.75l),9267,Krt (8 Fl),krt,Krt (8 Fl),,0.75l,0.75
Active O2 Apfel Kiwi (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1514_ui2FYcbcDHBs7AEXa-small.jpg,T6vyu4oYHjPviFjDe,T6vyu4oYHjPviFjDe,73,Active O2 Apfel Kiwi (0.75l),9254,Krt (8 Fl),krt,Krt (8 Fl),,0.75l,0.75
Adelholzener Classic Individual (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1340_aHRKzYvraf7FchavH-small.jpg,NF3TWPqX2rAtKSbcF,NF3TWPqX2rAtKSbcF,82,Adelholzener Classic Individual (0.5l),9256,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Adelholzener Classic Individual (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1340_cDrstkhen56sMiSG5-small.jpg,a5bgGdJ4Kex5uRgj6,a5bgGdJ4Kex5uRgj6,83,Adelholzener Classic Individual (0.75l),9106,Ki (12 Fl),ki,Ki (12 Fl),,0.75l,0.75
Adelholzener Classic PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1342_SKGpw72rDoBvr77PZ-small.jpg,3ANRkgcuvGujsJKgB,3ANRkgcuvGujsJKgB,84,Adelholzener Classic PET (0.5l),9063,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Adelholzener Classic PET (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1344_LgNWoZ8Nd8Ewerj8D-small.jpg,7rD4TxqDRpxBKtZsj,7rD4TxqDRpxBKtZsj,85,Adelholzener Classic PET (1l),9179,Ki (12 Fl),ki,Ki (12 Fl),,1l,1
Adelholzener Gastro Classic (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1349_REmB5nQPf4CguReTX-small.jpg,d6NrQsHfpoi6rBmP9,d6NrQsHfpoi6rBmP9,92,Adelholzener Gastro Classic (0.25l),9057,Ki (20 Fl),ki,Ki (20 Fl),,0.25l,0.25
Adelholzener Gastro Classic (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1350_4iWKGTkQCim8hHKt5-small.jpg,3jrFHhJHKqzbsezFX,3jrFHhJHKqzbsezFX,93,Adelholzener Gastro Classic (0.5l),9058,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
