Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Domaine La Louvière - L'Empereur (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0900_q97sF7KCsTHaCejK5-small.jpeg,dyBmHLvPBQrCrXZPo,dyBmHLvPBQrCrXZPo,1234,Domaine La Louvière - L'Empereur (0.75l),41042,Fl,fl,Fl,,0.75l,0.75
Domaine La Louvière - La Souveraine (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0901_mQsNvjsrDDmsWDPAg-small.jpeg,m56tnF8ynCtJ4d7QN,m56tnF8ynCtJ4d7QN,1235,Domaine La Louvière - La Souveraine (0.75l),41041,Fl,fl,Fl,,0.75l,0.75
Domaine La Louvière - Le Libertin (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0902_Y4AG3tfELmpqA2c4G-small.jpeg,kH27QBPMoFHNHHFYW,kH27QBPMoFHNHHFYW,1236,Domaine La Louvière - Le Libertin (0.75l),41040,Fl,fl,Fl,,0.75l,0.75
Domaine La Rocalière - Lirac (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0902_bMeLRcYA4xtNW9siM-small.jpeg,v3ipWM3ieeh5RjZRd,v3ipWM3ieeh5RjZRd,1237,Domaine La Rocalière - Lirac (0.75l),44007,Fl,fl,Fl,,0.75l,0.75
Domaine La Rocalière - Tavel Rosé (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230517-0920_CJ3RkivkD6tqPgit5-small.png,Lo6taGsK3XxqmMEB4,Lo6taGsK3XxqmMEB4,1238,Domaine La Rocalière - Tavel Rosé (0.75l),44006,Fl,fl,Fl,,0.75l,0.75
Domaine Lafage - Côté Sud (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0903_wkmNswXpJsirhX4Su-small.jpeg,ydENEAG6sMby9hSCM,ydENEAG6sMby9hSCM,1239,Domaine Lafage - Côté Sud (0.75l),41043,Fl,fl,Fl,,0.75l,0.75
Domaine Louis Max - Beaujolais (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0904_oA82dKCSQCwy9KHan-small.jpeg,nriuycqEaH6coshJ3,nriuycqEaH6coshJ3,1240,Domaine Louis Max - Beaujolais (0.75l),37020,Fl,fl,Fl,,0.75l,0.75
Domaine Louis Michel & Fils - (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0905_MP9H8FkM8aHKkdfeB-small.jpeg,NgmXpNJRRocsjr2ta,NgmXpNJRRocsjr2ta,1242,Domaine Louis Michel & Fils - (0.75l),37024,Fl,fl,Fl,,0.75l,0.75
Domaine Louis Michel & Fils - (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0906_JYed7WfPWDvJAZaGx-small.jpeg,F3fJ97kWmLsJbjBW7,F3fJ97kWmLsJbjBW7,1241,Domaine Louis Michel & Fils - (0.75l),37022,Fl,fl,Fl,,0.75l,0.75
Domaine Louis Michel & Fils - (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0904_dK22cyKM7papzNWpM-small.jpeg,wCcn6DTmLjRnLHXcW,wCcn6DTmLjRnLHXcW,1243,Domaine Louis Michel & Fils - (0.75l),37023,Fl,fl,Fl,,0.75l,0.75
