Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"Aberfeldy 16 Jahre (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0819_a9LngvtcMYDwdDWLP-small.jpeg,u4TaeZ8zpBSpmKc8K,u4TaeZ8zpBSpmKc8K,35,"Aberfeldy 16 Jahre  (0,7l)",26257,Fl,fl,Fl,,"0,7l",0.7
"Aberfeldy 21 Jahre (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240404-0820_mqsHxsfwAyHnydpE8-small.jpeg,xFjDbsyLmKvXzhzkb,xFjDbsyLmKvXzhzkb,36,"Aberfeldy 21 Jahre (0,7l)",26256,Fl,fl,Fl,,"0,7l",0.7
Akashi Blended Whisky (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220609-0633_hQWjXLWZy7PxjLrHc-small.jpg,EZKgGy8JB7toyMAn6,EZKgGy8JB7toyMAn6,137,Akashi Blended Whisky (0.5l),26060,Fl,fl,Fl,,0.5l,0.5
Ardbeg 10years (0.05l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221228-0653_JkQJBBSr42gPqFFcj-small.jpg,XXxdTNKZih6dPMAa4,XXxdTNKZih6dPMAa4,244,Ardbeg 10years (0.05l),26173,Fl,fl,Fl,,0.05l,0.05
Ardbeg 10years (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220610-1716_KenngvZytwgvRN9P6-small.jpg,Lwz8zowxWZBQP5EXH,Lwz8zowxWZBQP5EXH,245,Ardbeg 10years (0.7l),26174,Fl,fl,Fl,,0.7l,0.7
Ardbeg 19 years Batch 3,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221227-1512_cxqmLxEGgxnNu5gd8-small.jpg,rfLu498K5ksiahf2z,rfLu498K5ksiahf2z,246,Ardbeg 19 years Batch 3,26245,Flasche,flasche,Flasche,,,
Ardbeg 19years Batch 4,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221227-1514_hWoxbabvfAQf9a375-small.jpg,umQDiYCRhz2SRWXGv,umQDiYCRhz2SRWXGv,247,Ardbeg 19years Batch 4,26246,Flasche,flasche,Flasche,,,
"Ardbeg 25years (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221227-1149_szg8pgBHBrzZQQ2op-small.jpg,59nRS9KnDnsbQSdjx,59nRS9KnDnsbQSdjx,248,"Ardbeg 25years (0,7l)",26244,Flasche,flasche-,Flasche,,"0,7l",0.7
Ardbeg An Oa (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220610-1717_YpSmokb2hMW69Atch-small.jpg,ZkdoqMDMErWzD3Enm,ZkdoqMDMErWzD3Enm,249,Ardbeg An Oa (0.7l),26175,Fl,fl,Fl,,0.7l,0.7
"Ardbeg Ardcore 0,7l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221029-0848_PHmJ9NJcyopcp4T5G-small.jpg,XbSxJQMQqPf9aki53,XbSxJQMQqPf9aki53,250,"Ardbeg Ardcore 0,7l",26239,default,default,,,"0,7l",0.7
