data_id;data_productid;data_index;title_attribute;name;ref;image_url;unit_title;unit_value;unit_label;tags;volume_raw;volume_liters
TMdw57mwLMNS7Fbt9;TMdw57mwLMNS7Fbt9;0;"""La Volpe"" Primitivo 0,75l";"""La Volpe"" Primitivo 0,75l";46054;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230129-1251_HSoHJbKdHHpms9mtT-small.jpg;Flasche;flasche;Flasche;;0,75l;0.75
TYAi7o8N7nr945mWc;TYAi7o8N7nr945mWc;1;1883 Mojito Mint Sirup (1l);1883 Mojito Mint Sirup (1l);223296;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1034_pMpCzBn6pj9EmwGyB-small.jpeg;Fl;fl;Fl;;1l;1
458Wq3y2TLJvJbqzs;458Wq3y2TLJvJbqzs;2;28 Black Absolute Zero Guava-Passio (0.25l);28 Black Absolute Zero Guava-Passio (0.25l);10020;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1152_mW5uBK6CoLibe5hNF-small.jpg;Ki (24 Dose);ki;Ki (24 Dose);;0.25l;0.25
kboHoDorPwjjzxuvJ;kboHoDorPwjjzxuvJ;3;28 Black Acai (0.25l);28 Black Acai (0.25l);10016;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1426_qb7irvbY9s8EvKzNn-small.jpeg;Ki (24 Dose);ki;Ki (24 Dose);;0.25l;0.25
k7ySihY59HKtH5oGb;k7ySihY59HKtH5oGb;4;28 Black Classic (0.25l);28 Black Classic (0.25l);10017;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1152_yJsbSGmZ7Ds6uNg8R-small.jpg;Ki (24 Dose);ki;Ki (24 Dose);;0.25l;0.25
pND8cbYsob8P7GfGE;pND8cbYsob8P7GfGE;5;28 Black Sour Cherry (0.25l);28 Black Sour Cherry (0.25l);10018;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1153_8MM7iXNP2WsGH29h6-small.jpg;Ki (24 Dose);ki;Ki (24 Dose);;0.25l;0.25
TvXxWP4P5EJZQkAyB;TvXxWP4P5EJZQkAyB;6;28 Black Sour Mango (0.25l);28 Black Sour Mango (0.25l);10019;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1153_TzJWnnJCyPyrTDi8R-small.jpg;Ki (24 Dose);ki;Ki (24 Dose);;0.25l;0.25
W8jYHCHwrbkfCxfqQ;W8jYHCHwrbkfCxfqQ;7;42 Below Vodka  (1l);42 Below Vodka  (1l);25126;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250117-1419_fXSGLZ5L5dvkncvsB-small.jpeg;Fl;fl;Fl;;1l;1
6QfQz4XkMuWiCeP3A;6QfQz4XkMuWiCeP3A;8;4BRO Ice Tea Lemon (0.5l);4BRO Ice Tea Lemon (0.5l);8461;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1154_sAenMWRsayRsRbHrQ-small.jpeg;Krt (8 Fl);krt;Krt (8 Fl);;0.5l;0.5
ira5aLhrzbQ2uT7K4;ira5aLhrzbQ2uT7K4;9;4BRO Ice Tea Mango-Maracuja (0.5l);4BRO Ice Tea Mango-Maracuja (0.5l);8464;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1155_heZ4ybAmBGAkKpjCE-small.jpg;Krt (8 Fl);krt;Krt (8 Fl);;0.5l;0.5
ooFFrCx9vNw5k6i6E;ooFFrCx9vNw5k6i6E;10;4BRO Ice Tea Peach (0.5l);4BRO Ice Tea Peach (0.5l);8466;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1155_mJ7oHSPLsucAFGxsS-small.jpg;Krt (8 Fl);krt;Krt (8 Fl);;0.5l;0.5
HziJLs7CNr83MzCRf;HziJLs7CNr83MzCRf;11;9 Mile Vodka                       (9l);9 Mile Vodka                       (9l);25110;;Fl;fl;Fl;vorbesteller | vorbesteller;9l;9
q8NnMEy6vMxE74Fkr;q8NnMEy6vMxE74Fkr;12;9 Mile Vodka & Energy Dose (0.33l);9 Mile Vodka & Energy Dose (0.33l);25103;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1434_vWRTzbEwGQNmjaKYc-small.jpg;Ki (12 Fl);ki;Ki (12 Fl);vorbesteller | vorbesteller;0.33l;0.33
MpXK4Nt7HCxjsxNmK;MpXK4Nt7HCxjsxNmK;13;9 Mile Vodka (0.5l);9 Mile Vodka (0.5l);25094;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1434_XjrqjFNzWWzf6z7zh-small.jpg;Fl;fl;Fl;9mile | 9mile;0.5l;0.5
CMrYYKJcSevsh5yRn;CMrYYKJcSevsh5yRn;14;9 Mile Vodka (0.7l);9 Mile Vodka (0.7l);25081;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1434_WspkRgngkBg3YEGbG-small.jpg;Fl;fl;Fl;9mile | 9mile;0.7l;0.7
zR3JQAay6NgEEYMai;zR3JQAay6NgEEYMai;15;9 Mile Vodka (1.75l);9 Mile Vodka (1.75l);25104;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1435_oREJkoqZoDPcsBBF2-small.jpg;Fl;fl;Fl;9mile | 9mile;1.75l;1.75
JKi3wHdGFHY6qde4T;JKi3wHdGFHY6qde4T;16;9 Mile Vodka (1l);9 Mile Vodka (1l);25082;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1427_AfFTcuayfHbR8q3fa-small.jpg;Fl;fl;Fl;;1l;1
ZAQhY22YGaFaQa5RA;ZAQhY22YGaFaQa5RA;17;9 Mile Vodka (3l);9 Mile Vodka (3l);25093;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1428_4RyomEfPihvunJcsw-small.jpg;Fl;fl;Fl;;3l;3
zmEor52MGswMMFLds;zmEor52MGswMMFLds;18;9 Mile Vodka (6l);9 Mile Vodka (6l);25137;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231221-0826_5WEm85sELoSMgYhzx-small.jpeg;Karton;karton;Karton;;6l;6
X83XEXGeyQ6vY4iqn;X83XEXGeyQ6vY4iqn;19;9 Mile Vodka Espresso Martini Dose (12x0,2l);9 Mile Vodka Espresso Martini Dose (12x0,2l);8482;;Tray (12 Dosen);tray;Tray (12 Dosen);vorbesteller | vorbesteller;0,2l;0.2
988Y2x5MWmhjuXnjD;988Y2x5MWmhjuXnjD;20;A.H. Riise Non Plus Ultra Black (0.7l);A.H. Riise Non Plus Ultra Black (0.7l);21107;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1429_rdsjLJKzrGEqkcdYa-small.png;Fl;fl;Fl;;0.7l;0.7
g4kH2AqXi69PrG8wm;g4kH2AqXi69PrG8wm;21;A.H. Riise Non Plus Ultra Sauternes (0.7l);A.H. Riise Non Plus Ultra Sauternes (0.7l);21106;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1430_cuFAvGTKEG4BJmTeL-small.jpg;Fl;fl;Fl;;0.7l;0.7
gEwkui9RNgBhPhN2v;gEwkui9RNgBhPhN2v;22;A.H. Riise X.O. Ambre d'Or Reserve (0.7l);A.H. Riise X.O. Ambre d'Or Reserve (0.7l);21104;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1430_BZZNY8PFNJzfmpY58-small.jpg;Fl;fl;Fl;;0.7l;0.7
hu9Fm68tSkZa6LSz6;hu9Fm68tSkZa6LSz6;23;A.H. Riise X.O. Reserve (0.7l);A.H. Riise X.O. Reserve (0.7l);21105;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1430_q6MaKppdyNyDPjNhL-small.jpg;Fl;fl;Fl;;0.7l;0.7
ePo666yEfZcTCvrzo;ePo666yEfZcTCvrzo;24;AKTION - ERDINGER Brauhaus Helles ALKOHOLFREI  /  TEST AKTION !!    2 Flaschen;AKTION - ERDINGER Brauhaus Helles ALKOHOLFREI  /  TEST AKTION !!    2 Flaschen;3423;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_251014-1043_7Eoe8v78nNFwH4Bbt-small.jpeg;Flaschen;flaschen;Flaschen;Aktion | Aktion;;
hGfxYGKmiNcv6RD9e;hGfxYGKmiNcv6RD9e;25;AKTION - Wildbräu  AKTION - Testträger;AKTION - Wildbräu  AKTION - Testträger;3424;https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_251014-1054_MvQ7dMepGfjhyn2P5-small.jpeg;Träger (6 Fl);traeger;Träger (6 Fl);Aktion | Aktion;;
