source_file,artikelname,bildurl,normalized_name
Anis.csv,Cinzano Bianco (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2122_7xaD3DHdZNu7ZmHcS-small.jpg,cinzano bianco (0.75l)
Anis.csv,Cinzano Extra Dry (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230818-1144_ttX63M9ZaJPeAFC5C-small.jpeg,cinzano extra dry (0.75l)
Anis.csv,Cinzano Rosso (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2122_qjhLCPdaBGNAud6ya-small.png,cinzano rosso (0.75l)
Anis.csv,Cocchi Vermouth di Torino (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1222_TT5NLdaePXajWtaKr-small.jpeg,cocchi vermouth di torino (0.75l)
Anis.csv,Cynar Bitter (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2059_BvzyHePiCBLicfywm-small.jpg,cynar bitter (0.7l)
Anis.csv,Cynar Bitter (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1223_Mzgrr9bibJo5Y955y-small.jpeg,cynar bitter (1l)
Anis.csv,Deja-Vu Oriental Aperitif (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1927_p73JCmNcEBEYJjxFM-small.jpg,deja-vu oriental aperitif (0.7l)
Bier1.csv,"Chiemseer Hell (0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221214-2033_Zez5A8aydxjoizhEp-small.jpg,"chiemseer hell (0,33l)"
Bier1.csv,Chiemseer Hell (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-2038_oyf9vyPb2XDTQs3mY-small.jpg,chiemseer hell (0.5l)
Bier1.csv,Clausthaler alkoholfrei (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-2039_tNewMvjPLKqrznEJB-small.jpg,clausthaler alkoholfrei (0.33l)
Bier1.csv,Clausthaler alkoholfrei (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2123_6oFGu64gPZ5BmYKjP-small.jpg,clausthaler alkoholfrei (0.5l)
Bier1.csv,Clausthaler herb (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-2040_tmeWj4kaQBB9BpFEP-small.jpg,clausthaler herb (0.5l)
Bier1.csv,Clausthaler herb alkoholfrei (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2124_qCb2voXRrb2e3LhnW-small.jpg,clausthaler herb alkoholfrei (0.33l)
Bier1.csv,Corona Cero 0%,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221124-0531_JQqXPnR8kKBSyfs8P-small.jpg,corona cero 0%
Bier1.csv,Corona Extra (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220825-0522_dJZ8BQ9MJjhtAsQYy-small.jpg,corona extra (0.33l)
Bier1.csv,"Cyberz Limez (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-0934_pjNH7wcE4QthhF7hb-small.jpeg,"cyberz limez (24x0,33l)"
Bier1.csv,Desperados (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220825-0522_8LLBPT2DYb26S646r-small.png,desperados (0.33l)
Bier1.csv,Desperados (0.65l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-2041_qrYZ6LHgsNpAKprKs-small.jpg,desperados (0.65l)
Bier1.csv,"Desperados 0,0%",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240105-0717_prznYE8LxKi3GiS9y-small.jpeg,"desperados 0,0%"
Bier1.csv,"Desperados Dose (0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230525-0723_XxaWypHYHqXpKQaYQ-small.jpeg,"desperados dose (0,33l)"
Bier1.csv,Desperados Lime (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-2041_YnSRSyaJyxQdBqfDa-small.jpg,desperados lime (0.33l)
Bier1.csv,Desperados Mojito (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-2042_Em2fAJM6ozJQwqJKb-small.jpg,desperados mojito (0.33l)
Bitterlimonade.csv,Crodino Bitter (0.098l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220610-1631_pDReykS9TJtHMfp9Q-small.gif,crodino bitter (0.098l)
Cachaca.csv,"Delicana Gold Artesanal Cachaca (1,0l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230306-0719_rGxMabu2q6DAuKdjw-small.jpg,"delicana gold artesanal cachaca (1,0l)"
Champagner.csv,Champagne Gruet Brut Rosé (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1246_hE7oYWMxj4L4ivuF7-small.png,champagne gruet brut rosé (0.75l)
Champagner.csv,Champagne Regine Baron Saphir Brut (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1051_xAGqqSDqw2gRQyjCe-small.jpg,champagne regine baron saphir brut (0.75l)
Champagner.csv,"Champagner Ayala-Brut Majeur (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250513-1249_pASQuqFTxMgMxi95s-small.jpeg,"champagner ayala-brut majeur (0,75l)"
Champagner.csv,"Champagner Ayala-Rose Majeur (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250513-1250_tDcFavYFPG5Wv9wdw-small.jpeg,"champagner ayala-rose majeur (0,75l)"
Champagner.csv,"Champagner Devaux - Coeur des Bar Blanc de Blancs (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0958_jPkzucC26LDpTd4si-small.jpeg,"champagner devaux - coeur des bar blanc de blancs (0,75l)"
Champagner.csv,"Champagner Devaux - Grande Réserve Brut (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230403-0522_2r4DDSJSmCb7YPZq3-small.jpg,"champagner devaux - grande réserve brut (0,75l)"
Champagner.csv,"Champagner Lallier Blanc de Blancs 0,75l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230118-1427_KiJJKtBB9aRphkFhD-small.png,"champagner lallier blanc de blancs 0,75l"
Champagner.csv,Champagner Lallier Blanc de Noirs,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240717-1253_TH3hAoJnkiJ4CYHsS-small.jpeg,champagner lallier blanc de noirs
Champagner.csv,Champagner Lallier Cuvée R.019 (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1051_vNzirLfYhjpwQBrmP-small.png,champagner lallier cuvée r.019 (0.75l)
Champagner.csv,Champagner Lallier Millesime 2014,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240105-0650_shMXrMBfZh2aBcTr3-small.jpeg,champagner lallier millesime 2014
Champagner.csv,"Champagner Lallier Ouvrage (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240104-1111_f6q7rg4ZGsrHQLarh-small.jpeg,"champagner lallier ouvrage (0,75l)"
Champagner.csv,"Champagner Lallier Rosé (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230414-0432_AzXcdgrzA2Xq9F4Gi-small.png,"champagner lallier rosé (0,75l)"
Champagner.csv,"Champagner Millésimé Grand cru 2012 (0,75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1258_Acmd7RdHfLoozkgE8-small.jpeg,"champagner millésimé grand cru 2012 (0,75l)"
Cidre.csv,Cidre La Cidraie herb (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2121_Gdf9BTA9BEP5pEiA3-small.jpg,cidre la cidraie herb (0.75l)
Cognac.csv,Chantre (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1052_TzZbHvmQeuphxs48K-small.jpg,chantre (1l)
Cognac.csv,Courvoisier VS (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0808_D8P24iLLyxGjX5wPp-small.jpg,courvoisier vs (0.7l)
Cognac.csv,Courvoisier VSOP (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0809_Z66RQ2PmkyHDBRK4q-small.jpg,courvoisier vsop (0.7l)
Cognac.csv,Courvoisier XO (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230607-0809_kPfkczevWfvKcQfvx-small.jpg,courvoisier xo (0.7l)
Cola1.csv,Charitea Black Tea (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1915_L3bbyCoknzgbzTkTz-small.jpg,charitea black tea (0.33l)
Cola1.csv,Charitea Green Tea (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1915_53b6B84DsvoTEC2aC-small.jpg,charitea green tea (0.33l)
Cola1.csv,Charitea Mate (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220824-0511_Hda9G3ZPb3gBiwkXp-small.jpg,charitea mate (0.33l)
Cola1.csv,"Charitea Mint Sugarfree (0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0947_FDKq2Ktjdq6j2hmPg-small.jpeg,"charitea mint sugarfree (0,33l)"
Cola1.csv,Charitea Red Tea (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220824-0511_W7iRPkg6JQSuzbHtv-small.jpg,charitea red tea (0.33l)
Cola1.csv,Club Mate (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1921_pLNdqsd26zzcbSoXe-small.jpg,club mate (0.33l)
Cola1.csv,Club Mate (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2058_8mzv9zFsbteXi7gMc-small.jpg,club mate (0.5l)
Cola1.csv,Club Mate Cola (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2125_CEQtTeHFydvmTKH38-small.jpg,club mate cola (0.33l)
Cola1.csv,Club Mate Granatapfel (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-1418_8Hgh98WSuj2ZLgWd4-small.jpg,club mate granatapfel (0.5l)
Cola1.csv,Club Mate Ice Tea (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2055_RxCHYAfbebWKbi8t3-small.jpg,club mate ice tea (0.5l)
Cola1.csv,"Club Mate Zero (20x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0944_eBEcTrvQd9ZXfknXG-small.jpeg,"club mate zero (20x0,5l)"
Cola1.csv,Coca Cola (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1047_tG5XnZfZerfaNC2JY-small.jpg,coca cola (0.2l)
Cola1.csv,Coca Cola (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0349_zRtCJuLHtkDBh64nx-small.jpg,coca cola (0.33l)
Cola1.csv,Coca Cola (0.4l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230818-1145_dDKT4A49Ncsi7uWpL-small.jpeg,coca cola (0.4l)
Cola1.csv,Coca Cola (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231125-1013_2Qzzb9x8rwjCQ6XPS-small.jpeg,coca cola (0.5l)
Cola1.csv,Coca Cola BIB (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230108-1745_uJnXqYRneAvGfPGj7-small.jpg,coca cola bib (10l)
Cola1.csv,Coca Cola BIB (20l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230108-1746_FxqB2Pm6HfHh7NoFM-small.jpg,coca cola bib (20l)
Cola1.csv,Coca Cola BIB HIGH RATIO (10l),,coca cola bib high ratio (10l)
Cola1.csv,Coca Cola BIB HIGH RATIO (20l),,coca cola bib high ratio (20l)
Cola1.csv,Coca Cola Dose (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230818-1145_4a7MJyzvuKcK3DQzv-small.jpeg,coca cola dose (0.33l)
Cola1.csv,Coca Cola GLAS (6x1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231213-1546_v2qBBjd6q6HcHmeJZ-small.jpeg,coca cola glas (6x1l)
Cola1.csv,Coca Cola PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240126-1253_vSYqY26sBg6i3h5aE-small.jpeg,coca cola pet (0.5l)
Cola1.csv,Coca Cola PET (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1048_CTrMaZ25aqJbNbMD7-small.jpg,coca cola pet (1l)
Cola1.csv,Coca Cola light (0.4l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1405_ShRXn5hnMAevrtsaS-small.jpeg,coca cola light (0.4l)
Cola1.csv,Coca Cola light BIB HIGH RATIO (10l),,coca cola light bib high ratio (10l)
Cola1.csv,Coca Cola light taste (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220829-1212_dbhgtDueGZbR2YSn9-small.jpg,coca cola light taste (0.2l)
Cola1.csv,Coca Cola light taste (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220825-0412_ocPkTNqKYFNi2K3gb-small.jpg,coca cola light taste (0.33l)
Cola1.csv,Coca Cola light taste (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231125-1014_8t5Njm7JDAS4MFmJo-small.jpeg,coca cola light taste (0.5l)
Cola1.csv,Coca Cola light taste BIB (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230108-1749_5av7s9732w4oEu6yk-small.jpg,coca cola light taste bib (10l)
Cola1.csv,Coca Cola light taste PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240126-1329_R7k5wnTynaA5jEZPr-small.jpeg,coca cola light taste pet (0.5l)
Cola1.csv,Coca Cola light taste PET (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1048_Jh2fcQg2WEp5djsJR-small.jpeg,coca cola light taste pet (1l)
Cola1.csv,Coca Cola zero (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220602-1107_PAkS2eurBnNtKAbpF-small.jpg,coca cola zero (0.2l)
Cola1.csv,Coca Cola zero (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0349_DgAR7HSiz9tJoBEgv-small.jpg,coca cola zero (0.33l)
Cola1.csv,Coca Cola zero (0.4l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1406_pvYqyqduuc9DXcrWN-small.jpeg,coca cola zero (0.4l)
Cola1.csv,Coca Cola zero (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1407_eEQFHC56Tr4H5dQsT-small.jpeg,coca cola zero (0.5l)
Cola1.csv,Coca Cola zero BIB (10l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230108-1744_wGznm3WLy3WQ5tTMA-small.jpg,coca cola zero bib (10l)
Cola1.csv,Coca Cola zero BIB HIGH RATIO (10l),,coca cola zero bib high ratio (10l)
Cola1.csv,Coca Cola zero Dose (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221215-1657_7sxAZmF2nSjyeeqGC-small.jpg,coca cola zero dose (0.33l)
Cola1.csv,Coca Cola zero PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240126-1328_6SHgv6W5ebhQTCPfb-small.jpeg,coca cola zero pet (0.5l)
Cola1.csv,Coca Cola zero PET (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0410_JBgcXK2ttE3sHi9DK-small.jpg,coca cola zero pet (1l)
Cola1.csv,"ColaMix - Kreuzberg Quelle (20x0,5l)",,"colamix - kreuzberg quelle (20x0,5l)"
Cola1.csv,Cucumis Gurke-Basilikum (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1847_7mNzi7atzcRSudvGK-small.jpg,cucumis gurke-basilikum (0.33l)
Cola1.csv,Cucumis Lavendel-Bergamotte (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1847_7vqpoZb4qjesnZHCE-small.jpg,cucumis lavendel-bergamotte (0.33l)
Cola1.csv,Deit Orange PET (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1407_gpSFHyRcjM75Rkv8F-small.jpeg,deit orange pet (1l)
Cola1.csv,Deit Pink Grape PET (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1407_78jLCZdzkoMsi2iF8-small.jpeg,deit pink grape pet (1l)
Cola1.csv,Dietz Grüner Tee Zitrone Ingwer (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1408_AKiAdy9rYezj6tSgf-small.jpeg,dietz grüner tee zitrone ingwer (0.33l)
Cola1.csv,"Dietz Matchatee Minze (20x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231125-1015_gFcmBjMFTEEZifRQ9-small.jpeg,"dietz matchatee minze (20x0,33l)"
Cola1.csv,Dietz Rooibos Tee Maracuja (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1408_MQhmxg4CrbG9o2ga9-small.jpeg,dietz rooibos tee maracuja (0.33l)
Cola1.csv,Dietz Schwarztee Cranberry (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1409_3EtdZHDpBX6hfMRTH-small.jpeg,dietz schwarztee cranberry (0.33l)
Gin.csv,Cherryblossom Classic Gin (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2119_6z7yFkBtXLztKYJNJ-small.jpg,cherryblossom classic gin (0.5l)
Gin.csv,Citadelle Gin (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1916_Z9ZReoMHD3hT4QM2k-small.jpg,citadelle gin (0.7l)
Gin.csv,Copperhead Gin (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-0654_WxT97YJMMwYtL6DFH-small.jpg,copperhead gin (0.5l)
Gin.csv,Costoluto Wunderburg Orange,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221220-1345_a9xwKsRy3Bxg27STj-small.jpg,costoluto wunderburg orange
Gin.csv,Costoluto Wunderburg Pink Gin,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221220-1353_kDZZ2Le3APsJDcNe4-small.jpg,costoluto wunderburg pink gin
Gin.csv,Crafters Gin (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-0655_96aTKqMJnnGa67794-small.jpg,crafters gin (0.7l)
Gin.csv,DOL Gin (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-0655_DqRxtBYtwyxonhmBX-small.jpg,dol gin (0.5l)
Gin.csv,Delirium Pfalz Gin (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-0655_x7Egb6Wz3tTrbMwCT-small.jpg,delirium pfalz gin (0.5l)
Gin.csv,Dictador Colombian Orthodoxy Aged (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1918_jCxzukJ9pvX2uYoRJ-small.jpg,dictador colombian orthodoxy aged (0.7l)
Gin.csv,Dictador Colombian Treasure Aged (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-0656_fA6CxuFx8bzGijEds-small.jpg,dictador colombian treasure aged (0.7l)
Grappa.csv,Chateau du Breuil 15years (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0652_cW4jbXKMHW3ztxuyH-small.jpg,chateau du breuil 15years (0.7l)
Grappa.csv,Chateau du Breuil 8years (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0653_SoGTXrBSodFaHPMCP-small.jpg,chateau du breuil 8years (0.7l)
Grappa.csv,Chateau du Breuil VSOP (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0653_4hMMS5DhR3RcpLMu6-small.jpg,chateau du breuil vsop (0.7l)
Grappa.csv,Chateau du Breuil XO (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230505-0653_GKnYLzdWsJ3K2oh6L-small.jpg,chateau du breuil xo (0.7l)
Kaffee.csv,ChariTea African Earl Grey 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220603-0908_LoqSNPjuR4DSaDk8Y-small.png,charitea african earl grey 6x10
Kaffee.csv,ChariTea Arabian Mint 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1052_wNi2qY5Mx6se8stn3-small.png,charitea arabian mint 6x10
Kaffee.csv,ChariTea Black Darjeeling 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1053_bHSieuL5n2tNkewEE-small.png,charitea black darjeeling 6x10
Kaffee.csv,ChariTea Chamomille 6x9,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1054_Yixei6MFKQb632vT4-small.jpg,charitea chamomille 6x9
Kaffee.csv,ChariTea Clean Green 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1054_jmmitGHeGfRnKuXNk-small.png,charitea clean green 6x10
Kaffee.csv,ChariTea Ginger Lemon 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1055_qKMkBRsh38g62sFyC-small.png,charitea ginger lemon 6x10
Kaffee.csv,ChariTea Green Himalaya 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1055_L35cYpXZk2CygwBoF-small.png,charitea green himalaya 6x10
Kaffee.csv,ChariTea Happy Belly 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2117_Kz3oNRfEoXiSZxnCi-small.png,charitea happy belly 6x10
Kaffee.csv,ChariTea Masala Chai 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2117_Qv2eLWuqpqMwSsLtm-small.png,charitea masala chai 6x10
Kaffee.csv,ChariTea Red Rooibos 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2118_JC8fbyZPTzou6hueD-small.jpg,charitea red rooibos 6x10
Kaffee.csv,ChariTea Wild Fruit 6x10,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2119_y2PtffZYGWvy5sbxo-small.png,charitea wild fruit 6x10
Kaffee.csv,Coatina Kakaopulver weiß 500g,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0349_dkieTLRn4zi8J76Bf-small.png,coatina kakaopulver weiß 500g
Likör.csv,Chambord Royal (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2057_PEbGj79q385x3ux6z-small.jpg,chambord royal (0.5l)
Likör.csv,Chartreuse Gelb (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2057_8dvre4fRrQyRebrZR-small.jpg,chartreuse gelb (0.7l)
Likör.csv,Chartreuse Grün (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2058_XWSEi4dAvziMp8L3h-small.jpg,chartreuse grün (0.7l)
Likör.csv,Cherry Brandy Hausmarke (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220829-0945_gQpQ697vgvCApkLna-small.jpg,cherry brandy hausmarke (1l)
Likör.csv,Cherry Heering (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220816-0940_j2ZNY2munDGFag6eM-small.jpg,cherry heering (0.7l)
Likör.csv,Cointreau (0.35l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0436_htCNAqTBKDQQ7ZQqZ-small.jpg,cointreau (0.35l)
Likör.csv,Cointreau (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0437_i3QHcxgvY3EfoWfDf-small.jpg,cointreau (0.7l)
Likör.csv,Cointreau (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0435_7cyRFNSjsTEG6x5EZ-small.jpg,cointreau (1l)
Likör.csv,"Cointreau Noir (0,7l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240523-1026_idmnbm6ehEGZzxQFz-small.jpeg,"cointreau noir (0,7l)"
Likör.csv,De Kuyper Apricot Brandy (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230223-2049_LEucjS3tDha5usMFm-small.jpg,de kuyper apricot brandy (0.7l)
Likör.csv,De Kuyper Blue Curacao (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230223-2049_uzjuzx6zyMGHs7hm2-small.jpg,de kuyper blue curacao (0.7l)
